"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
9,14,1.64686274396053,0.394571475442087,0.975265964811145,1.06465013693803,1.36561009692498,1.61347231282508,1.88898361248505,2.34862662863238,2.51860410280383,2020-03-25
10,15,1.47512910630692,0.341295784247001,0.895716145775673,0.968158613246494,1.23324068256984,1.44511701326049,1.68201254616009,2.08258696213406,2.22423479790654,2020-03-26
11,16,1.49629236520001,0.319583871192686,0.940739942118998,1.01710475162038,1.27078970680699,1.47102833459675,1.69367915393053,2.05866461857639,2.18930685464114,2020-03-27
12,17,1.59231375206762,0.309594537818076,1.05421240434701,1.12636838860835,1.37373939458131,1.56943206349613,1.78683377680116,2.13635897850861,2.26038800243848,2020-03-28
13,18,1.36277094076533,0.273477005663348,0.881151973882335,0.949024994573896,1.17082450187741,1.34387205908324,1.53493514360685,1.83954922157443,1.95184375875514,2020-03-29
14,19,1.40086195603038,0.267310246766157,0.927660627529517,0.992351589908025,1.21354887647653,1.38478538807807,1.56999428552475,1.87044700343067,1.97272479584968,2020-03-30
15,20,1.29603318773201,0.245433409069157,0.862218124304548,0.92100171345582,1.12167076875359,1.28192267686508,1.45300860154705,1.72457955861789,1.81608390225942,2020-03-31
16,21,1.13042298492638,0.222305592223726,0.739281242994958,0.791214476285392,0.974423493138813,1.11528641450288,1.26968792312626,1.52000468662152,1.60850046623984,2020-04-01
17,22,1.27277842531499,0.227621232765053,0.867875719987696,0.923372186121244,1.11185669386847,1.25843511099608,1.41771811741172,1.67258289912388,1.75807513124173,2020-04-02
18,23,1.261551411565,0.222122236902377,0.863412619597849,0.919242308038308,1.10587056525336,1.2480320316067,1.40440718590025,1.64501620792788,1.73002857071501,2020-04-03
19,24,1.25434930669887,0.216191925106789,0.869582592316718,0.922303383620251,1.10356514916325,1.24027547995928,1.3923084294928,1.63156312702742,1.71334455103046,2020-04-04
20,25,1.34426430704606,0.219831192052227,0.947007231734271,1.0018358820468,1.19165714647198,1.33275226631066,1.48485904849386,1.7224983110788,1.81209656221723,2020-04-05
21,26,1.41382024252886,0.220152503048149,1.01873947123122,1.07246056907835,1.25943961619108,1.40252201277918,1.55539414072899,1.79358870321774,1.87514007162046,2020-04-06
22,27,1.5893874008544,0.228177036502415,1.17346677661182,1.23374515600556,1.42962996963425,1.57833815159453,1.73712241370802,1.98164652121359,2.06646394676951,2020-04-07
23,28,1.35752386734461,0.206038149516998,0.98428797333783,1.03739725234713,1.21327574485667,1.34747999069468,1.4893200042044,1.71089168793574,1.78876593248078,2020-04-08
24,29,1.1681729141474,0.183414006440699,0.839542574074947,0.886312273362141,1.03964038906501,1.15725996774538,1.28651189891701,1.48636856029865,1.55351830488952,2020-04-09
25,30,1.31131419949665,0.188854402526052,0.969678669251546,1.02022990670886,1.17938868285208,1.30125599232585,1.43183496966684,1.63874312907285,1.70758314091639,2020-04-10
26,31,1.24140196065453,0.175954961796819,0.921738312333063,0.968753351907704,1.11852889409141,1.2328392254344,1.35460708359411,1.54395141570387,1.60792207744068,2020-04-11
27,32,1.16526581954261,0.166251743861293,0.860543815905548,0.905849621117675,1.04936269454141,1.15775548710245,1.27235083291097,1.45118009721586,1.51411525380143,2020-04-12
28,33,1.07482654074649,0.156014968128212,0.793414981396051,0.832331290368322,0.966173020030426,1.06732504276436,1.17479148247407,1.34364952300741,1.40233625487138,2020-04-13
29,34,1.2719299817574,0.165793152979003,0.969067732842411,1.01354499058562,1.15598531404488,1.26436135778903,1.37907680582206,1.5578709796231,1.61743915811087,2020-04-14
30,35,1.5034819951612,0.177570374267095,1.17656886740124,1.22405754754822,1.37972880778277,1.49669669778542,1.61940739879271,1.80762139402421,1.87026434353,2020-04-15
31,36,1.34192454233981,0.165885699740973,1.03720905274003,1.08238135063995,1.22737649519624,1.33502043308335,1.44777530368309,1.62733699858829,1.68806501145994,2020-04-16
32,37,1.40533553314685,0.166802790632079,1.09886189629674,1.14294868626618,1.28983676064811,1.39830976805041,1.51349392670499,1.69194086050446,1.75100631260922,2020-04-17
33,38,1.38977638228652,0.161931591063276,1.09343568724184,1.13502240497777,1.27710686640256,1.383362681177,1.49431411672328,1.66651036052033,1.7241589704463,2020-04-18
34,39,1.32061673193159,0.151643090224236,1.04310819013937,1.08272046174412,1.21460667633398,1.31471841132575,1.41835260826064,1.58247537172204,1.63848226392344,2020-04-19
35,40,1.41003996309858,0.152304750826702,1.12941488423228,1.1706346344259,1.30421821131634,1.40337429014194,1.5088900518915,1.67282011077823,1.72658178520281,2020-04-20
