"estimativa","ic.inf","ic.sup","data"
1.97612910632502,0.907067309963998,-33.7545327025317,2020-04-08
2.6961864068088,1.16489913059922,-11.8506299379327,2020-04-12
3.40499962465158,1.39282665886463,-9.05405364125072,2020-04-13
4.10844090001354,1.60063255633221,-8.0548730612666,2020-04-16
4.80888178526935,1.79343519708287,-7.59679427954314,2020-04-21
5.5074720079113,1.9743874056905,-7.37007151389037,2020-04-24
6.20483871226903,2.14561873434051,-7.26177168305705,2020-04-25
8.46648911940895,2.44951973964762,-5.95328549406569,2020-04-26
14.4030117496801,2.86242475970425,-4.80167265981738,2020-04-27
37.4243849419699,3.32959621956498,-4.06390231637579,2020-04-28
-2893853847338978,3.69510749856262,-3.69510749856262,2020-04-29
-2893853847338978,3.69510749856262,-3.69510749856262,2020-04-30
38.8108780097077,3.39686600663322,-4.13072241679653,2020-05-01
26.3316870700445,3.28453993484929,-4.39774536017026,2020-05-02
26.7939215469454,3.31719694953894,-4.42986766485459,2020-05-03
20.7844002798192,3.24679219690549,-4.75217026995376,2020-05-04
28.6428154465746,3.44512705170778,-4.55583376475585,2020-05-05
29.1050289679737,3.47646775525964,-4.58672295771073,2020-05-06
44.3567260618166,3.65464745742788,-4.38698695602358,2020-05-07
3145950804718737,4.01934401904699,-4.01934401904699,2020-05-08
3145950804718737,4.01934401904699,-4.01934401904699,2020-05-09
3145950804718737,4.01934401904699,-4.01934401904699,2020-05-10
45.7431626679629,3.71653790013402,-4.44855578385211,2020-05-11
13.6496550973808,3.16466682977561,-5.96340148578635,2020-05-12
11.0715622764877,3.04603610643961,-6.87034535619446,2020-05-13
12.9804778899269,3.2274010653491,-6.49133852017811,2020-05-14
27.0250370364048,3.78079744761964,-5.27157259297632,2020-05-15
2562865579456716,4.46174121915716,-4.46174121915717,2020-05-16
56.1412132776583,4.15367377081445,-4.88378688899262,2020-05-17
23.0034370714664,3.78703601317933,-5.67406754917508,2020-05-18
19.628565466828,3.71711021525435,-6.01928834649137,2020-05-19
24.1128888116676,3.8931336063881,-5.77623359532669,2020-05-20
61.6867240806583,4.37028574593926,-5.09964603557136,2020-05-21
63.0730926222639,4.42290301613938,-5.15209582039726,2020-05-22
25.7769992427759,4.04795403328261,-5.9258115296055,2020-05-23
21.9401729857404,3.97295080856337,-6.26002272046377,2020-05-24
26.8863678797249,4.14849470896187,-6.02322876785828,2020-05-25
68.6185368141332,4.62781434664659,-5.35640499925766,2020-05-26
-3902071730253758,4.99097803567777,-4.99097803567777,2020-05-27
-3902071730253758,4.99097803567777,-4.99097803567777,2020-05-28
-3902071730253758,4.99097803567777,-4.99097803567777,2020-05-29
-3902071730253758,4.99097803567777,-4.99097803567777,2020-05-30
-3902071730253758,4.99097803567777,-4.99097803567777,2020-05-31
-3902071730253758,4.99097803567777,-4.99097803567777,2020-06-01
-3902071730253758,4.99097803567777,-4.99097803567777,2020-06-02
