"estimate","lower","upper","onset_date","n.reported"
187,187,187,2020-03-20,187
173,172,178,2020-03-21,172
193,190,199,2020-03-22,190
231,228,237,2020-03-23,227
220,215,227,2020-03-24,213
201,196,208,2020-03-25,193
197,191,206,2020-03-26,186
173,166,183,2020-03-27,160
178,170,188,2020-03-28,162
168,159,177,2020-03-29,150
154,145,164,2020-03-30,134
163,154,174,2020-03-31,142
156,146,168,2020-04-01,132
136,126,148,2020-04-02,111
113,103,125,2020-04-03,88
104,94,116,2020-04-04,77
129,118,143,2020-04-05,97
125,113,140,2020-04-06,88
120,106,135,2020-04-07,77
126,111,143,2020-04-08,76
124,108,143,2020-04-09,67
125,107,145,2020-04-10,62
101,83,123,2020-04-11,36
98,79,121,2020-04-12,30
96,75,121,2020-04-13,25
80,57,106,2020-04-14,8
85,60,115,2020-04-15,9
84,55,117,2020-04-16,5
81,50,118,2020-04-17,NA
82,48,125,2020-04-18,NA
