date,observed,estimate,upper,lower,type
2020-03-01,2,2,2,2,covid
2020-03-02,2,2,2,2,covid
2020-03-03,4,4,4,4,covid
2020-03-04,5,5,5,5,covid
2020-03-05,4,4,4,4,covid
2020-03-06,4,4,4,4,covid
2020-03-07,10,10,10,10,covid
2020-03-08,11,11,11,11,covid
2020-03-09,13,13,13,13,covid
2020-03-10,17,17,17,17,covid
2020-03-11,25,25,25,25,covid
2020-03-12,41,41,41,41,covid
2020-03-13,56,56,56,56,covid
2020-03-14,81,81,81,81,covid
2020-03-15,115,115,115,115,covid
2020-03-16,150,150,150,150,covid
2020-03-17,216,216,216,216,covid
2020-03-18,308,308,308,308,covid
2020-03-19,413,413,413,413,covid
2020-03-20,541,541,541,541,covid
2020-03-21,649,649,649,649,covid
2020-03-22,758,758,758,758,covid
2020-03-23,909,909,909,909,covid
2020-03-24,1073,1073,1073,1073,covid
2020-03-25,1271,1271,1271,1271,covid
2020-03-26,1497,1497,1497,1497,covid
2020-03-27,1714,1714,1714,1714,covid
2020-03-28,1886,1886,1886,1886,covid
2020-03-29,2029,2029,2029,2029,covid
2020-03-30,2271,2271,2271,2271,covid
2020-03-31,2437,2437,2437,2437,covid
2020-04-01,2536,2536,2536,2536,covid
2020-04-02,2659,2659,2659,2659,covid
2020-04-03,2682,2682,2682,2682,covid
2020-04-04,2711,2711,2711,2711,covid
2020-04-05,2721,2721,2721,2721,covid
2020-04-06,2809,2809,2809,2809,covid
2020-04-07,2887,2887,2887,2887,covid
2020-04-08,2900,2900,2900,2900,covid
2020-04-09,2947,2947,2947,2947,covid
2020-04-10,2939,2939,2939,2939,covid
2020-04-11,2935,2935,2935,2935,covid
2020-04-12,2977,2977,2977,2977,covid
2020-04-13,3089,3089,3089,3089,covid
2020-04-14,3148,3148,3148,3148,covid
2020-04-15,3233,3233,3233,3233,covid
2020-04-16,3284,3284,3284,3284,covid
2020-04-17,3374,3374,3374,3374,covid
2020-04-18,3389,3389,3389,3389,covid
2020-04-19,3464,3464,3464,3464,covid
2020-04-20,3618,3618,3618,3618,covid
2020-04-21,3727,3727,3727,3727,covid
2020-04-22,3977,3977,3977,3977,covid
2020-04-23,4133,4133,4133,4133,covid
2020-04-24,4292,4292,4292,4292,covid
2020-04-25,4379,4379,4379,4379,covid
2020-04-26,4523,4523,4523,4523,covid
2020-04-27,4738,4738,4738,4738,covid
2020-04-28,4835,4835,4835,4835,covid
2020-04-29,4927,4927,4927,4927,covid
2020-04-30,5064,5064,5064,5064,covid
2020-05-01,5120,5120,5120,5120,covid
2020-05-02,5231,5231,5231,5231,covid
2020-05-03,5337,5337,5337,5337,covid
2020-05-04,5447,5447,5447,5447,covid
2020-05-05,5522,5522,5522,5522,covid
2020-05-06,5557,5557,5557,5557,covid
2020-05-07,5593,5593,5593,5593,covid
2020-05-08,5591,5591,5591,5591,covid
2020-05-09,5545,5545,5545,5545,covid
2020-05-10,5597,5597,5597,5597,covid
2020-05-11,5841,5841,5841,5841,covid
2020-05-12,6008,6008,6008,6008,covid
2020-05-13,6103,6103,6103,6103,covid
2020-05-14,6209,6209,6209,6209,covid
2020-05-15,6318,6318,6318,6318,covid
2020-05-16,6357,6357,6357,6357,covid
2020-05-17,6417,6417,6417,6417,covid
2020-05-18,6641,6641,6641,6641,covid
2020-05-19,6753,6753,6753,6753,covid
2020-05-20,6795,6795,6795,6795,covid
2020-05-21,6910,6910,6910,6910,covid
2020-05-22,6997,6997,6997,6997,covid
2020-05-23,7002,7002,7002,7002,covid
2020-05-24,7056,7056,7056,7056,covid
2020-05-25,7208,7208,7208,7208,covid
2020-05-26,7285,7285,7285,7285,covid
2020-05-27,7267,7267,7267,7267,covid
2020-05-28,7205,7205,7205,7205,covid
2020-05-29,7147,7147,7147,7147,covid
2020-05-30,6979,6979,6979,6979,covid
2020-05-31,6967,6967,6967,6967,covid
2020-06-01,7056,7056,7056,7056,covid
