date,observed,estimate,upper,lower,type
2020-03-01,1,1,1,1,covid
2020-03-02,2,2,2,2,covid
2020-03-03,2,2,2,2,covid
2020-03-04,2,2,2,2,covid
2020-03-05,1,1,1,1,covid
2020-03-06,1,1,1,1,covid
2020-03-07,4,4,4,4,covid
2020-03-08,5,5,5,5,covid
2020-03-09,6,6,6,6,covid
2020-03-10,7,7,7,7,covid
2020-03-11,11,11,11,11,covid
2020-03-12,21,21,21,21,covid
2020-03-13,29,29,29,29,covid
2020-03-14,39,39,39,39,covid
2020-03-15,53,53,53,53,covid
2020-03-16,70,70,70,70,covid
2020-03-17,95,95,95,95,covid
2020-03-18,129,129,129,129,covid
2020-03-19,179,179,179,179,covid
2020-03-20,216,216,216,216,covid
2020-03-21,261,261,261,261,covid
2020-03-22,307,307,307,307,covid
2020-03-23,380,380,380,380,covid
2020-03-24,436,436,436,436,covid
2020-03-25,484,484,484,484,covid
2020-03-26,551,551,551,551,covid
2020-03-27,633,633,633,633,covid
2020-03-28,697,697,697,697,covid
2020-03-29,749,749,749,749,covid
2020-03-30,812,812,812,812,covid
2020-03-31,874,874,874,874,covid
2020-04-01,923,923,923,923,covid
2020-04-02,965,965,965,965,covid
2020-04-03,992,992,992,992,covid
2020-04-04,978,978,978,978,covid
2020-04-05,992,992,992,992,covid
2020-04-06,1018,1018,1018,1018,covid
2020-04-07,1021,1021,1021,1021,covid
2020-04-08,1019,1019,1019,1019,covid
2020-04-09,1035,1035,1035,1035,covid
2020-04-10,1038,1038,1038,1038,covid
2020-04-11,1032,1032,1032,1032,covid
2020-04-12,1057,1057,1057,1057,covid
2020-04-13,1083,1083,1083,1083,covid
2020-04-14,1100,1100,1100,1100,covid
2020-04-15,1117,1117,1117,1117,covid
2020-04-16,1142,1142,1142,1142,covid
2020-04-17,1173,1173,1173,1173,covid
2020-04-18,1189,1189,1189,1189,covid
2020-04-19,1219,1219,1219,1219,covid
2020-04-20,1251,1251,1251,1251,covid
2020-04-21,1279,1279,1279,1279,covid
2020-04-22,1343,1343,1343,1343,covid
2020-04-23,1365,1365,1365,1365,covid
2020-04-24,1379,1379,1379,1379,covid
2020-04-25,1373,1373,1373,1373,covid
2020-04-26,1407,1407,1407,1407,covid
2020-04-27,1452,1452,1452,1452,covid
2020-04-28,1491,1491,1491,1491,covid
2020-04-29,1537,1537,1537,1537,covid
2020-04-30,1570,1570,1570,1570,covid
2020-05-01,1605,1605,1605,1605,covid
2020-05-02,1622,1622,1622,1622,covid
2020-05-03,1635,1635,1635,1635,covid
2020-05-04,1680,1680,1680,1680,covid
2020-05-05,1688,1688,1688,1688,covid
2020-05-06,1714,1714,1714,1714,covid
2020-05-07,1720,1720,1720,1720,covid
2020-05-08,1748,1748,1748,1748,covid
2020-05-09,1754,1754,1754,1754,covid
2020-05-10,1771,1771,1771,1771,covid
2020-05-11,1827,1827,1827,1827,covid
2020-05-12,1888,1888,1888,1888,covid
2020-05-13,1929,1929,1929,1929,covid
2020-05-14,1954,1954,1954,1954,covid
2020-05-15,1972,1972,1972,1972,covid
2020-05-16,1979,1979,1979,1979,covid
2020-05-17,2004,2004,2004,2004,covid
2020-05-18,2059,2059,2059,2059,covid
2020-05-19,2101,2101,2101,2101,covid
2020-05-20,2150,2150,2150,2150,covid
2020-05-21,2170,2170,2170,2170,covid
2020-05-22,2184,2184,2184,2184,covid
2020-05-23,2165,2165,2165,2165,covid
2020-05-24,2225,2225,2225,2225,covid
2020-05-25,2279,2279,2279,2279,covid
2020-05-26,2318,2318,2318,2318,covid
2020-05-27,2318,2318,2318,2318,covid
2020-05-28,2326,2326,2326,2326,covid
2020-05-29,2303,2303,2303,2303,covid
2020-05-30,2291,2291,2291,2291,covid
2020-05-31,2297,2297,2297,2297,covid
2020-06-01,2325,2325,2325,2325,covid
2020-06-02,2341,2341,2341,2341,covid
2020-06-03,2325,2325,2325,2325,covid
2020-06-04,2334,2334,2334,2334,covid
2020-06-05,2343,2343,2343,2343,covid
2020-06-06,2315,2315,2316,2315,covid
2020-06-07,2297,2298,2299,2297,covid
2020-06-08,2325,2326,2329,2325,covid
2020-06-09,2309,2310,2316,2309,covid
2020-06-10,2297,2299,2308,2297,covid
2020-06-11,2271,2275,2288,2271,covid
2020-06-12,2254,2260,2280,2254,covid
2020-06-13,2247,2256,2275,2247,covid
2020-06-14,2232,2246,2267,2232,covid
2020-06-15,2228,2242,2271,2228,covid
2020-06-16,2218,2230,2268,2218,covid
2020-06-17,2202,2216,2259,2202,covid
2020-06-18,2203,2218,2268,2203,covid
2020-06-19,2186,2203,2265,2186,covid
2020-06-20,2165,2186,2245,2165,covid
2020-06-21,2130,2153,2210,2130,covid
2020-06-22,2138,2166,2224,2138,covid
2020-06-23,2105,2134,2200,2105,covid
2020-06-24,2069,2101,2172,2069,covid
2020-06-25,2057,2088,2158,2057,covid
2020-06-26,2019,2054,2130,2020,covid
2020-06-27,1982,2020,2105,1984,covid
2020-06-28,1966,2005,2103,1968,covid
2020-06-29,1968,2017,2118,1971,covid
2020-06-30,1963,2022,2127,1969,covid
2020-07-01,1924,1988,2104,1928,covid
2020-07-02,1916,1984,2091,1921,covid
2020-07-03,1897,1975,2094,1907,covid
2020-07-04,1888,1980,2105,1902,covid
2020-07-05,1872,1976,2101,1890,covid
2020-07-06,1866,1983,2119,1890,covid
2020-07-07,1845,1985,2120,1885,covid
2020-07-08,1823,1982,2130,1876,covid
2020-07-09,1805,1995,2150,1869,covid
2020-07-10,1784,2005,2157,1864,covid
2020-03-01,72,72,72,72,srag
2020-03-02,75,75,75,75,srag
2020-03-03,79,79,79,79,srag
2020-03-04,84,84,84,84,srag
2020-03-05,85,85,85,85,srag
2020-03-06,90,90,90,90,srag
2020-03-07,97,97,97,97,srag
2020-03-08,101,101,101,101,srag
2020-03-09,106,106,106,106,srag
2020-03-10,107,107,107,107,srag
2020-03-11,113,113,113,113,srag
2020-03-12,139,139,139,139,srag
2020-03-13,153,153,153,153,srag
2020-03-14,169,169,169,169,srag
2020-03-15,203,203,203,203,srag
2020-03-16,262,262,262,262,srag
2020-03-17,307,307,307,307,srag
2020-03-18,396,396,396,396,srag
2020-03-19,499,499,499,499,srag
2020-03-20,592,592,592,592,srag
2020-03-21,695,695,695,695,srag
2020-03-22,762,762,762,762,srag
2020-03-23,880,880,880,880,srag
2020-03-24,971,971,971,971,srag
2020-03-25,1048,1048,1048,1048,srag
2020-03-26,1157,1157,1157,1157,srag
2020-03-27,1268,1268,1268,1268,srag
2020-03-28,1342,1342,1342,1342,srag
2020-03-29,1392,1392,1392,1392,srag
2020-03-30,1470,1470,1470,1470,srag
2020-03-31,1560,1560,1560,1560,srag
2020-04-01,1622,1622,1622,1622,srag
2020-04-02,1677,1677,1677,1677,srag
2020-04-03,1707,1707,1707,1707,srag
2020-04-04,1689,1689,1689,1689,srag
2020-04-05,1709,1709,1709,1709,srag
2020-04-06,1738,1738,1738,1738,srag
2020-04-07,1742,1742,1742,1742,srag
2020-04-08,1736,1736,1736,1736,srag
2020-04-09,1750,1750,1750,1750,srag
2020-04-10,1745,1745,1745,1745,srag
2020-04-11,1745,1745,1745,1745,srag
2020-04-12,1776,1776,1776,1776,srag
2020-04-13,1801,1801,1801,1801,srag
2020-04-14,1829,1829,1829,1829,srag
2020-04-15,1853,1853,1853,1853,srag
2020-04-16,1882,1882,1882,1882,srag
2020-04-17,1913,1913,1913,1913,srag
2020-04-18,1916,1916,1916,1916,srag
2020-04-19,1947,1947,1947,1947,srag
2020-04-20,1974,1974,1974,1974,srag
2020-04-21,2031,2031,2031,2031,srag
2020-04-22,2111,2111,2111,2111,srag
2020-04-23,2164,2164,2164,2164,srag
2020-04-24,2182,2182,2182,2182,srag
2020-04-25,2184,2184,2184,2184,srag
