date,observed,estimate,upper,lower,type
2020-03-08,17,17,17,17,covid
2020-03-09,19,19,19,19,covid
2020-03-10,22,22,22,22,covid
2020-03-11,30,30,30,30,covid
2020-03-12,47,47,47,47,covid
2020-03-13,62,62,62,62,covid
2020-03-14,88,88,88,88,covid
2020-03-15,129,129,129,129,covid
2020-03-16,165,165,165,165,covid
2020-03-17,233,233,233,233,covid
2020-03-18,335,335,335,335,covid
2020-03-19,442,442,442,442,covid
2020-03-20,568,568,568,568,covid
2020-03-21,687,687,687,687,covid
2020-03-22,809,809,809,809,covid
2020-03-23,969,969,969,969,covid
2020-03-24,1156,1156,1156,1156,covid
2020-03-25,1371,1371,1371,1371,covid
2020-03-26,1622,1622,1622,1622,covid
2020-03-27,1869,1869,1869,1869,covid
2020-03-28,2077,2077,2077,2077,covid
2020-03-29,2262,2262,2262,2262,covid
2020-03-30,2566,2566,2566,2566,covid
2020-03-31,2791,2791,2791,2791,covid
2020-04-01,2955,2955,2955,2955,covid
2020-04-02,3134,3134,3134,3134,covid
2020-04-03,3214,3214,3214,3214,covid
2020-04-04,3274,3274,3274,3274,covid
2020-04-05,3333,3333,3333,3333,covid
2020-04-06,3483,3483,3483,3483,covid
2020-04-07,3596,3596,3596,3596,covid
2020-04-08,3631,3631,3631,3631,covid
2020-04-09,3659,3659,3659,3659,covid
2020-04-10,3675,3675,3675,3675,covid
2020-04-11,3706,3706,3706,3706,covid
2020-04-12,3785,3785,3785,3785,covid
2020-04-13,3924,3924,3924,3924,covid
2020-04-14,3979,3979,3980,3979,covid
2020-04-15,4084,4084,4086,4084,covid
2020-04-16,4122,4122,4127,4122,covid
2020-04-17,4228,4228,4237,4228,covid
2020-04-18,4277,4278,4293,4277,covid
2020-04-19,4390,4392,4411,4390,covid
2020-04-20,4598,4601,4629,4598,covid
2020-04-21,4756,4767,4807,4756,covid
2020-04-22,5057,5078,5134,5057,covid
2020-04-23,5237,5264,5347,5237,covid
2020-04-24,5395,5433,5522,5395,covid
2020-04-25,5476,5521,5634,5476,covid
2020-04-26,5668,5718,5865,5669,covid
2020-04-27,5904,5971,6140,5906,covid
2020-04-28,5962,6046,6237,5969,covid
2020-04-29,6033,6134,6352,6042,covid
2020-04-30,6126,6250,6496,6138,covid
2020-05-01,6076,6227,6507,6094,covid
2020-05-02,6165,6343,6649,6189,covid
2020-05-03,6278,6472,6831,6311,covid
2020-05-04,6395,6625,7026,6437,covid
2020-05-05,6403,6692,7121,6465,covid
2020-05-06,6358,6693,7150,6431,covid
2020-05-07,6324,6705,7202,6416,covid
2020-05-08,6244,6687,7202,6359,covid
2020-05-09,6149,6647,7228,6285,covid
2020-05-10,6169,6723,7351,6338,covid
2020-05-11,6302,6944,7613,6513,covid
2020-05-12,6340,7071,7787,6597,covid
2020-05-13,6217,7025,7845,6520,covid
2020-05-14,6126,7054,7925,6493,covid
2020-05-15,6001,7051,7979,6452,covid
2020-05-16,5865,7061,8056,6397,covid
2020-05-17,5789,7152,8191,6418,covid
2020-05-18,5751,7295,8402,6478,covid
2020-05-19,5538,7256,8454,6386,covid
2020-05-20,5311,7231,8534,6285,covid
2020-05-21,5057,7193,8583,6156,covid
2020-03-08,243,243,243,243,srag
2020-03-09,265,265,265,265,srag
2020-03-10,288,288,288,288,srag
2020-03-11,323,323,323,323,srag
2020-03-12,388,388,388,388,srag
2020-03-13,451,451,451,451,srag
2020-03-14,510,510,510,510,srag
2020-03-15,617,617,617,617,srag
2020-03-16,773,773,773,773,srag
2020-03-17,965,965,965,965,srag
2020-03-18,1265,1265,1265,1265,srag
2020-03-19,1600,1600,1600,1600,srag
2020-03-20,1970,1970,1970,1970,srag
2020-03-21,2318,2318,2318,2318,srag
2020-03-22,2565,2565,2565,2565,srag
2020-03-23,2973,2973,2973,2973,srag
2020-03-24,3355,3355,3355,3355,srag
2020-03-25,3746,3746,3746,3746,srag
2020-03-26,4254,4254,4254,4254,srag
2020-03-27,4726,4726,4726,4726,srag
2020-03-28,5087,5087,5087,5087,srag
2020-03-29,5429,5429,5429,5429,srag
2020-03-30,6010,6010,6010,6010,srag
2020-03-31,6418,6418,6418,6418,srag
2020-04-01,6732,6732,6732,6732,srag
2020-04-02,7080,7080,7080,7080,srag
2020-04-03,7267,7267,7267,7267,srag
2020-04-04,7413,7413,7413,7413,srag
2020-04-05,7522,7522,7522,7522,srag
2020-04-06,7861,7861,7861,7861,srag
2020-04-07,8103,8103,8103,8103,srag
2020-04-08,8220,8220,8220,8220,srag
2020-04-09,8332,8332,8332,8332,srag
2020-04-10,8378,8378,8378,8378,srag
2020-04-11,8475,8475,8475,8475,srag
2020-04-12,8650,8650,8650,8650,srag
2020-04-13,8983,8983,8983,8983,srag
2020-04-14,9168,9168,9168,9168,srag
2020-04-15,9372,9372,9372,9372,srag
2020-04-16,9501,9501,9502,9501,srag
2020-04-17,9740,9741,9742,9740,srag
2020-04-18,9793,9795,9799,9793,srag
