"municipio","DRS","DRS.nome","id","DRS.nome.nonascii"
"Adamantina",9,"Marília",350010,"Marilia"
"Adolfo",15,"São José do Rio Preto",350020,"Sao_Jose_do_Rio_Preto"
"Aguaí",14,"São João da Boa Vista",350030,"Sao_Joao_da_Boa_Vista"
"Águas da Prata",14,"São João da Boa Vista",350040,"Sao_Joao_da_Boa_Vista"
"Águas de Lindóia",7,"Campinas",350050,"Campinas"
"Águas de Santa Bárbara",6,"Bauru",350055,"Bauru"
"Águas de São Pedro",10,"Piracicaba",350060,"Piracicaba"
"Agudos",6,"Bauru",350070,"Bauru"
"Alambari",16,"Sorocaba",350075,"Sorocaba"
"Alfredo Marcondes",11,"Presidente Prudente",350080,"Presidente_Prudente"
"Altair",5,"Barretos",350090,"Barretos"
"Altinópolis",13,"Ribeirão Preto",350100,"Ribeirao_Preto"
"Alto Alegre",2,"Araçatuba",350110,"Aracatuba"
"Alumínio",16,"Sorocaba",350115,"Sorocaba"
"Álvares Florence",15,"São José do Rio Preto",350120,"Sao_Jose_do_Rio_Preto"
"Álvares Machado",11,"Presidente Prudente",350130,"Presidente_Prudente"
"Álvaro de Carvalho",9,"Marília",350140,"Marilia"
"Alvinlândia",9,"Marília",350150,"Marilia"
"Americana",7,"Campinas",350160,"Campinas"
"Américo Brasiliense",3,"Araraquara",350170,"Araraquara"
"Américo de Campos",15,"São José do Rio Preto",350180,"Sao_Jose_do_Rio_Preto"
"Amparo",7,"Campinas",350190,"Campinas"
"Analândia",10,"Piracicaba",350200,"Piracicaba"
"Andradina",2,"Araçatuba",350210,"Aracatuba"
"Angatuba",16,"Sorocaba",350220,"Sorocaba"
"Anhembi",6,"Bauru",350230,"Bauru"
"Anhumas",11,"Presidente Prudente",350240,"Presidente_Prudente"
"Aparecida",17,"Taubaté",350250,"Taubate"
"Aparecida d'Oeste",15,"São José do Rio Preto",350260,"Sao_Jose_do_Rio_Preto"
"Apiaí",16,"Sorocaba",350270,"Sorocaba"
"Araçariguama",16,"Sorocaba",350275,"Sorocaba"
"Araçatuba",2,"Araçatuba",350280,"Aracatuba"
"Araçoiaba da Serra",16,"Sorocaba",350290,"Sorocaba"
"Aramina",8,"Franca",350300,"Franca"
"Arandu",6,"Bauru",350310,"Bauru"
"Arapeí",17,"Taubaté",350315,"Taubate"
"Araraquara",3,"Araraquara",350320,"Araraquara"
"Araras",10,"Piracicaba",350330,"Piracicaba"
"Arco-Íris",9,"Marília",350335,"Marilia"
"Arealva",6,"Bauru",350340,"Bauru"
"Areias",17,"Taubaté",350350,"Taubate"
"Areiópolis",6,"Bauru",350360,"Bauru"
"Ariranha",15,"São José do Rio Preto",350370,"Sao_Jose_do_Rio_Preto"
"Artur Nogueira",7,"Campinas",350380,"Campinas"
"Arujá",1,"Grande São Paulo",350390,"Grande_Sao_Paulo"
"Aspásia",15,"São José do Rio Preto",350395,"Sao_Jose_do_Rio_Preto"
"Assis",9,"Marília",350400,"Marilia"
"Atibaia",7,"Campinas",350410,"Campinas"
"Auriflama",2,"Araçatuba",350420,"Aracatuba"
"Avaí",6,"Bauru",350430,"Bauru"
"Avanhandava",2,"Araçatuba",350440,"Aracatuba"
"Avaré",6,"Bauru",350450,"Bauru"
"Bady Bassitt",15,"São José do Rio Preto",350460,"Sao_Jose_do_Rio_Preto"
"Balbinos",6,"Bauru",350470,"Bauru"
"Bálsamo",15,"São José do Rio Preto",350480,"Sao_Jose_do_Rio_Preto"
"Bananal",17,"Taubaté",350490,"Taubate"
"Barão de Antonina",6,"Bauru",350500,"Bauru"
"Barbosa",2,"Araçatuba",350510,"Aracatuba"
"Bariri",6,"Bauru",350520,"Bauru"
"Barra Bonita",6,"Bauru",350530,"Bauru"
"Barra do Chapéu",16,"Sorocaba",350535,"Sorocaba"
"Barra do Turvo",12,"Registro",350540,"Registro"
"Barretos",5,"Barretos",350550,"Barretos"
"Barrinha",13,"Ribeirão Preto",350560,"Ribeirao_Preto"
"Barueri",1,"Grande São Paulo",350570,"Grande_Sao_Paulo"
"Bastos",9,"Marília",350580,"Marilia"
