"municipio","DRS","DRS.nome","id","DRS.nome.nonascii"
"Boa Vista das Missões",15,"Palmeira das Missões",430215,"Palmeira_das_Missoes"
"Boa Vista do Buricá",14,"Santa Rosa",430220,"Santa_Rosa"
"Boa Vista do Cadeado",12,"Cruz Alta",430222,"Cruz_Alta"
"Boa Vista do Incra",12,"Cruz Alta",430223,"Cruz_Alta"
"Boa Vista do Sul",23,"Caxias do Sul",430225,"Caxias_do_Sul"
"Bom Jesus",23,"Caxias do Sul",430230,"Caxias_do_Sul"
"Bom Princípio",23,"Caxias do Sul",430235,"Caxias_do_Sul"
"Bom Progresso",15,"Palmeira das Missões",430237,"Palmeira_das_Missoes"
"Bom Retiro do Sul",29,"Lajeado",430240,"Lajeado"
"Boqueirão do Leão",29,"Lajeado",430245,"Lajeado"
"Bossoroca",11,"Santo Ângelo",430250,"Santo_Angelo"
"Bozano",13,"Ijuí",430258,"Ijui"
"Braga",15,"Palmeira das Missões",430260,"Palmeira_das_Missoes"
"Brochier",8,"Canoas",430265,"Canoas"
"Butiá",9,"Guaíba",430270,"Guaiba"
"Caçapava do Sul",27,"Cachoeira do Sul",430280,"Cachoeira_do_Sul"
"Cacequi",1,"Santa Maria",430290,"Santa_Maria"
"Cachoeira do Sul",27,"Cachoeira do Sul",430300,"Cachoeira_do_Sul"
"Cachoeirinha",10,"Porto Alegre",430310,"Porto_Alegre"
"Cacique Doble",17,"Passo Fundo",430320,"Passo_Fundo"
"Caibaté",11,"Santo Ângelo",430330,"Santo_Angelo"
"Caiçara",15,"Palmeira das Missões",430340,"Palmeira_das_Missoes"
"Camaquã",9,"Guaíba",430350,"Guaiba"
"Camargo",17,"Passo Fundo",430355,"Passo_Fundo"
"Cambará do Sul",6,"Taquara",430360,"Taquara"
"Campestre da Serra",23,"Caxias do Sul",430367,"Caxias_do_Sul"
"Campina das Missões",14,"Santa Rosa",430370,"Santa_Rosa"
"Campinas do Sul",16,"Erechim",430380,"Erechim"
"Campo Bom",7,"Novo Hamburgo",430390,"Novo_Hamburgo"
"Campo Novo",13,"Ijuí",430400,"Ijui"
"Campos Borges",17,"Passo Fundo",430410,"Passo_Fundo"
"Candelária",28,"Santa Cruz do Sul",430420,"Santa_Cruz_do_Sul"
"Cândido Godói",14,"Santa Rosa",430430,"Santa_Rosa"
"Candiota",22,"Bagé",430435,"Bage"
"Canela",23,"Caxias do Sul",430440,"Caxias_do_Sul"
"Canguçu",21,"Pelotas",430450,"Pelotas"
"Canoas",8,"Canoas",430460,"Canoas"
"Canudos do Vale",29,"Lajeado",430461,"Lajeado"
"Capão Bonito do Sul",17,"Passo Fundo",430462,"Passo_Fundo"
"Capão da Canoa",4,"Capão Da Canoa",430463,"Capao_Da_Canoa"
"Capão do Cipó",1,"Santa Maria",430465,"Santa_Maria"
"Capão do Leão",21,"Pelotas",430466,"Pelotas"
"Capela de Santana",8,"Canoas",430468,"Canoas"
"Capitão",29,"Lajeado",430469,"Lajeado"
"Capivari do Sul",4,"Capão Da Canoa",430467,"Capao_Da_Canoa"
"Caraá",4,"Capão Da Canoa",430471,"Capao_Da_Canoa"
"Carazinho",17,"Passo Fundo",430470,"Passo_Fundo"
"Carlos Barbosa",23,"Caxias do Sul",430480,"Caxias_do_Sul"
"Carlos Gomes",16,"Erechim",430485,"Erechim"
"Casca",17,"Passo Fundo",430490,"Passo_Fundo"
"Caseiros",17,"Passo Fundo",430495,"Passo_Fundo"
"Catuípe",13,"Ijuí",430500,"Ijui"
"Caxias do Sul",23,"Caxias do Sul",430510,"Caxias_do_Sul"
"Centenário",16,"Erechim",430511,"Erechim"
"Cerrito",21,"Pelotas",430512,"Pelotas"
"Cerro Branco",27,"Cachoeira do Sul",430513,"Cachoeira_do_Sul"
"Cerro Grande",15,"Palmeira das Missões",430515,"Palmeira_das_Missoes"
"Cerro Grande do Sul",9,"Guaíba",430517,"Guaiba"
"Cerro Largo",11,"Santo Ângelo",430520,"Santo_Angelo"
"Chapada",15,"Palmeira das Missões",430530,"Palmeira_das_Missoes"
"Charqueadas",9,"Guaíba",430535,"Guaiba"
"Charrua",16,"Erechim",430537,"Erechim"
"Chiapetta",13,"Ijuí",430540,"Ijui"
"Chuí",21,"Pelotas",430543,"Pelotas"
"Chuvisca",9,"Guaíba",430544,"Guaiba"
"Cidreira",4,"Capão Da Canoa",430545,"Capao_Da_Canoa"
"Ciríaco",17,"Passo Fundo",430550,"Passo_Fundo"
"Colinas",29,"Lajeado",430558,"Lajeado"
"Colorado",12,"Cruz Alta",430560,"Cruz_Alta"
"Condor",13,"Ijuí",430570,"Ijui"
"Constantina",15,"Palmeira das Missões",430580,"Palmeira_das_Missoes"
"Coqueiro Baixo",29,"Lajeado",430583,"Lajeado"
"Coqueiros do Sul",17,"Passo Fundo",430585,"Passo_Fundo"
"Coronel Barros",13,"Ijuí",430587,"Ijui"
"Coronel Bicaco",15,"Palmeira das Missões",430590,"Palmeira_das_Missoes"
"Coronel Pilar",23,"Caxias do Sul",430593,"Caxias_do_Sul"
"Cotiporã",23,"Caxias do Sul",430595,"Caxias_do_Sul"
"Coxilha",17,"Passo Fundo",430597,"Passo_Fundo"
"Crissiumal",13,"Ijuí",430600,"Ijui"
"Cristal",21,"Pelotas",430605,"Pelotas"
"Cristal do Sul",15,"Palmeira das Missões",430607,"Palmeira_das_Missoes"
"Cruz Alta",12,"Cruz Alta",430610,"Cruz_Alta"
"Cruzaltense",16,"Erechim",430613,"Erechim"
"Cruzeiro do Sul",29,"Lajeado",430620,"Lajeado"
"David Canabarro",17,"Passo Fundo",430630,"Passo_Fundo"
"Derrubadas",15,"Palmeira das Missões",430632,"Palmeira_das_Missoes"
"Dezesseis de Novembro",11,"Santo Ângelo",430635,"Santo_Angelo"
"Dilermando de Aguiar",1,"Santa Maria",430637,"Santa_Maria"
"Dois Irmãos",7,"Novo Hamburgo",430640,"Novo_Hamburgo"
"Dois Irmãos das Missões",15,"Palmeira das Missões",430642,"Palmeira_das_Missoes"
"Dois Lajeados",29,"Lajeado",430645,"Lajeado"
"Dom Feliciano",9,"Guaíba",430650,"Guaiba"
"Dom Pedrito",22,"Bagé",430660,"Bage"
"Dom Pedro de Alcântara",4,"Capão Da Canoa",430655,"Capao_Da_Canoa"
