"data","novos.casos","casos.acumulados","obitos.novos","obitos.acumulados"
2020-02-25,0,0,0,0
2020-02-26,1,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,1,0,0
2020-02-29,1,2,0,0
2020-03-01,0,2,0,0
2020-03-02,0,2,0,0
2020-03-03,0,2,0,0
2020-03-04,1,3,0,0
2020-03-05,4,7,0,0
2020-03-06,6,13,0,0
2020-03-07,6,19,0,0
2020-03-08,6,25,0,0
2020-03-09,0,25,0,0
2020-03-10,9,34,0,0
2020-03-11,18,52,0,0
2020-03-12,25,77,0,0
2020-03-13,21,98,0,0
2020-03-14,23,121,0,0
2020-03-15,79,200,0,0
2020-03-16,34,234,0,0
2020-03-17,57,291,1,1
2020-03-18,137,428,3,4
2020-03-19,193,621,2,6
2020-03-20,283,904,5,11
2020-03-21,224,1128,7,18
2020-03-22,418,1546,7,25
2020-03-23,345,1891,9,34
2020-03-24,310,2201,12,46
2020-03-25,232,2433,11,57
2020-03-26,482,2915,20,77
2020-03-27,502,3417,15,92
2020-03-28,486,3903,22,114
2020-03-29,353,4256,22,136
2020-03-30,323,4579,23,159
2020-03-31,1138,5717,42,201
2020-04-01,1117,6834,40,241
2020-04-02,1076,7910,58,299
2020-04-03,1146,9056,60,359
2020-04-04,1222,10278,73,432
2020-04-05,852,11130,54,486
2020-04-06,926,12056,67,553
2020-04-07,1661,13717,114,667
2020-04-08,2210,15927,133,800
2020-04-09,1930,17857,141,941
2020-04-10,1781,19638,115,1056
2020-04-11,1089,20727,68,1124
2020-04-12,1442,22169,99,1223
2020-04-13,1261,23430,105,1328
2020-04-14,1832,25262,204,1532
2020-04-15,3058,28320,204,1736
2020-04-16,2105,30425,188,1924
2020-04-17,3257,33682,217,2141
2020-04-18,2917,36599,206,2347
2020-04-19,2055,38654,115,2462
2020-04-20,1927,40581,113,2575
2020-04-21,2498,43079,166,2741
2020-04-22,2678,45757,165,2906
2020-04-23,3735,49492,407,3313
2020-04-24,3503,52995,357,3670
2020-04-25,5514,58509,346,4016
2020-04-26,3379,61888,189,4205
2020-04-27,4613,66501,338,4543
2020-04-28,5385,71886,474,5017
2020-04-29,6276,78162,449,5466
2020-04-30,7218,85380,435,5901
2020-05-01,5919,91299,428,6329
2020-05-02,5097,96396,395,6724
2020-05-03,4751,101147,301,7025
2020-05-04,6633,107780,296,7321
2020-05-05,6935,114715,600,7921
2020-05-06,10503,125218,614,8535
2020-05-07,9888,135106,611,9146
