day;state;suspect.cases;confirmed.cases;discarded.cases;deaths;local.transmission
2020-02-28;Ceará;6;0;2;0;Não
2020-02-28;Rio Grande do Norte;3;0;2;0;Não
2020-02-28;Paraíba;1;0;1;0;Não
2020-02-28;Pernambuco;5;0;2;0;Não
2020-02-28;Alagoas;1;0;0;0;Não
2020-02-28;Bahia;9;0;4;0;Não
2020-02-28;Minas Gerais;17;0;3;0;Não
2020-02-28;Espírito Santo;2;0;1;0;Não
2020-02-28;Rio de Janeiro;19;0;8;0;Não
2020-02-28;São Paulo;66;1;30;0;Não
2020-02-28;Paraná;5;0;3;0;Não
2020-02-28;Santa Catarina;9;0;4;0;Não
2020-02-28;Rio Grande do Sul;27;0;10;0;Não
2020-02-28;Mato Grosso do Sul;2;0;0;0;Não
2020-02-28;Goiás;5;0;0;0;Não
2020-02-28;Distrito Federal;5;0;1;0;Não
2020-03-05;Rondônia;1;0;0;0;Não
2020-03-05;Amazonas;5;0;1;0;Não
2020-03-05;Pará;1;0;5;0;Não
2020-03-05;Maranhão;0;0;2;0;Não
2020-03-05;Piauí;1;0;2;0;Não
2020-03-05;Ceará;16;0;18;0;Não
2020-03-05;Rio Grande do Norte;4;0;8;0;Não
2020-03-05;Paraíba;4;0;1;0;Não
2020-03-05;Pernambuco;8;0;12;0;Não
2020-03-05;Alagoas;6;0;1;0;Não
2020-03-05;Sergipe;2;0;0;0;Não
2020-03-05;Bahia;23;0;29;0;Não
2020-03-05;Minas Gerais;80;0;12;0;Não
2020-03-05;Espírito Santo;5;0;8;0;Não
2020-03-05;Rio de Janeiro;79;1;58;0;Não
2020-03-05;São Paulo;182;6;159;0;Não
2020-03-05;Paraná;20;0;9;0;Não
2020-03-05;Santa Catarina;54;0;4;0;Não
2020-03-05;Rio Grande do Sul;104;0;25;0;Não
2020-03-05;Mato Grosso do Sul;11;0;3;0;Não
2020-03-05;Mato Grosso;6;0;0;0;Não
2020-03-05;Goiás;4;0;12;0;Não
2020-03-05;Distrito Federal;20;0;9;0;Não
2020-03-06;Rondônia;1;0;0;0;Não
2020-03-06;Amazonas;2;0;4;0;Não
2020-03-06;Pará;4;0;5;0;Não
2020-03-06;Maranhão;0;0;2;0;Não
2020-03-06;Piauí;1;0;2;0;Não
2020-03-06;Ceará;12;0;24;0;Não
2020-03-06;Rio Grande do Norte;7;0;8;0;Não
2020-03-06;Paraíba;3;0;3;0;Não
2020-03-06;Pernambuco;6;0;14;0;Não
2020-03-06;Alagoas;7;0;1;0;Não
2020-03-06;Sergipe;3;0;1;0;Não
2020-03-06;Bahia;15;1;32;0;Não
2020-03-06;Minas Gerais;123;0;17;0;Não
2020-03-06;Espírito Santo;1;1;12;0;Não
2020-03-06;Rio de Janeiro;111;1;67;0;Não
2020-03-06;São Paulo;222;10;189;0;Não
2020-03-06;Paraná;25;0;13;0;Não
2020-03-06;Santa Catarina;59;0;10;0;Não
2020-03-06;Rio Grande do Sul;112;0;41;0;Não
2020-03-06;Mato Grosso do Sul;8;0;9;0;Não
2020-03-06;Mato Grosso;6;0;1;0;Não
2020-03-06;Goiás;4;0;12;0;Não
2020-03-06;Distrito Federal;36;0;13;0;Não
2020-03-08;Rondônia;1;0;0;0;Não
2020-03-08;Amazonas;2;0;4;0;Não
2020-03-08;Pará;3;0;6;0;Não
2020-03-08;Maranhão;0;0;2;0;Não
2020-03-08;Piauí;1;0;2;0;Não
2020-03-08;Ceará;11;0;26;0;Não
2020-03-08;Rio Grande do Norte;9;0;13;0;Não
2020-03-08;Paraíba;3;0;3;0;Não
2020-03-08;Pernambuco;9;0;18;0;Não
2020-03-08;Alagoas;6;1;1;0;Não
2020-03-08;Sergipe;1;0;1;0;Não
2020-03-08;Bahia;15;2;32;0;Sim
2020-03-08;Minas Gerais;122;1;17;0;Não
2020-03-08;Espírito Santo;1;1;12;0;Não
2020-03-08;Rio de Janeiro;110;3;67;0;Não
2020-03-08;São Paulo;176;16;258;0;Sim
2020-03-08;Paraná;22;0;20;0;Não
2020-03-08;Santa Catarina;44;0;26;0;Não
2020-03-08;Rio Grande do Sul;88;0;75;0;Não
2020-03-08;Mato Grosso do Sul;6;0;11;0;Não
2020-03-08;Mato Grosso;5;0;2;0;Não
2020-03-08;Goiás;4;0;12;0;Não
2020-03-08;Distrito Federal;24;1;24;0;Não
