dt_int,observed,estimate,upper,lower
2020-03-15,1,1,1,1
2020-03-19,2,2,2,2
2020-03-20,4,4,4,4
2020-03-21,1,1,1,1
2020-03-22,2,2,2,2
2020-03-23,4,4,4,4
2020-03-24,2,2,2,2
2020-03-25,1,1,1,1
2020-03-26,7,7,7,7
2020-03-27,6,6,6,6
2020-03-28,5,5,5,5
2020-03-29,6,6,6,6
2020-03-30,7,7,7,7
2020-03-31,5,5,5,5
2020-04-01,6,6,6,6
2020-04-02,3,3,3,3
2020-04-03,7,7,7,7
2020-04-04,4,4,4,4
2020-04-05,3,3,3,3
2020-04-06,6,6,6,6
2020-04-07,2,2,2,2
2020-04-08,5,5,5,5
2020-04-09,2,2,2,2
2020-04-10,2,2,2,2
2020-04-11,3,3,3,3
2020-04-12,1,1,1,1
2020-04-13,3,3,3,3
2020-04-14,2,2,2,2
2020-04-15,5,5,5,5
2020-04-16,2,2,2,2
2020-04-17,3,3,3,3
2020-04-18,1,1,1,1
2020-04-19,2,2,2,2
2020-04-20,5,5,5,5
2020-04-21,6,6,6,6
2020-04-22,6,6,6,6
2020-04-23,3,3,3,3
2020-04-24,1,1,1,1
2020-04-25,1,1,1,1
2020-04-26,2,2,2,2
2020-04-27,5,5,5,5
2020-04-28,4,4,4,4
2020-04-29,4,4,4,4
2020-04-30,1,1,1,1
2020-05-01,3,3,3,3
2020-05-02,1,1,1,1
2020-05-03,6,6,6,6
2020-05-04,7,7,7,7
2020-05-05,5,5,5,5
2020-05-06,3,3,3,3
2020-05-07,1,1,1,1
2020-05-08,6,6,6,6
2020-05-09,4,4,7,4
2020-05-10,5,5,6,5
2020-05-11,3,3,6,3
2020-05-12,3,3,5,3
2020-05-13,5,5,7,5
2020-05-14,4,4,7,4
2020-05-15,3,3,9,3
2020-05-16,4,4,10,4
2020-05-17,4,4,11,4
2020-05-18,4,4,13,4
2020-05-19,10,10,21,10
2020-05-20,16,16,22,16
2020-05-21,9,9,13,9
2020-05-22,13,13,27,13
2020-05-23,6,6,16,6
2020-05-24,9,9,16,9
2020-05-25,12,12,20,12
2020-05-26,9,9,14,9
2020-05-27,8,9,18,8
2020-05-28,15,15,24,15
2020-05-29,15,15,22,15
2020-05-30,14,15,24,14
2020-05-31,16,18,37,16
2020-06-01,17,19,34,17
2020-06-02,19,20,40,19
2020-06-03,17,20,36,17
2020-06-04,17,22,38,17
2020-06-05,22,27,48,22
2020-06-06,29,39,57,29
2020-06-07,13,18,48,13
2020-06-08,24,31,52,24
2020-06-09,17,32,53,17
2020-06-10,9,16,51,10
2020-06-11,10,26,43,10
2020-06-12,10,36,66,11
2020-06-13,7,21,58,7
2020-06-14,3,24,65,4
2020-06-15,NA,13,49,1
2020-06-16,NA,9,44,2
