"estimativa","ic.inf","ic.sup","data"
1.26466994534975,0.840273353638374,2.32455160763488,2020-04-26
1.57823076392764,1.08102441181039,2.77301299251432,2020-05-03
1.76794661825161,1.24630816667837,2.93931493032236,2020-05-10
2.20540661890511,1.54680373368331,3.74909763099155,2020-05-17
2.74832430692604,1.8972825275025,4.89184585661878,2020-05-24
3.1906994252127,2.18632218261856,5.81375085965067,2020-05-31
3.52608423977637,2.42273825445468,6.3964535697767,2020-06-07
2.83946796935558,2.1422358531801,4.17750022717574,2020-06-14
2.46794859070411,1.97440242409451,3.27306608327637,2020-06-21
2.13097558145823,1.7936525572146,2.61497571942945,2020-06-28
1.92927143185312,1.68534103907264,2.25017964033329,2020-07-05
1.99828925401501,1.77583961370558,2.28055396257882,2020-07-12
2.14080857357457,1.92215371933436,2.41263528095595,2020-07-19
2.49220886694274,2.23914932813029,2.80719826494431,2020-07-26
3.00869703711603,2.6891236216957,3.41205262138893,2020-08-02
3.63806480559011,3.22369668167414,4.17224735286836,2020-08-09
4.50731510093766,3.9350377712092,5.27174614596242,2020-08-16
5.68761843061407,4.85888537870512,6.85412058041975,2020-08-23
7.47483482422132,6.16843545561609,9.47928109854212,2020-08-30
10.1988390939782,7.98600285508442,14.1020423646377,2020-09-06
13.3125322720319,9.86064623166657,20.4738682249901,2020-09-13
16.0649021681839,11.3813755285506,27.2857567625388,2020-09-20
16.3260860171893,11.5866501962566,27.614302363515,2020-09-27
16.6808169241946,11.8330420241324,28.2452886313875,2020-10-04
18.9790648742529,13.0240540180474,34.9515970348841,2020-10-11
22.827919637002,14.8148138755153,49.6962222559976,2020-10-18
26.8768549410331,16.5170213283242,72.0548949132311,2020-10-25
30.3384769091744,17.852354666392,100.855577290161,2020-11-01
33.2302504540681,18.9053774568209,137.030553049849,2020-11-08
35.225706907499,19.6231229962853,171.748782219093,2020-11-15
