Nome,@ no Twitter,O que divulga (área de estudo/tema)?
Patrícia F. Spinelli,@pati_spinelli,Astronomia
Sacani (Space Today),@SpaceToday1,Astronomia
Tania Dominici,@TaniaDominici,Astronomia
Ned Oliveira,@ned35,Astronomia
Observatório PUCRS,@AstronomiaPUCRS,Astronomia
Ricardo Ogando,@thespacelink,Astronomia
Thiago S Goncalves,@thiagosgbr,Astronomia
Diego Lorenzo,@diego_lorenzo,Astronomia
Marcos Calil,@MarcosCalil,Astronomia
Museu de Astronomia,@MuseuAstronomia,Astronomia
Natália🔭🏡,@nataliawho_,Astronomia
Gustavo Rojas,@gurojas,Astronomia
Geisa Ponte #Astronomia 🤏,@geisa_ponte,Astronomia
Duilia DeMello,@dudemello,Astronomia
wandeclayt,@wandeclayt,Astronomia
Universo em Pauta,@PautaUniverso,Astronomia
dino - dobra espacial 🚀,@tomatosmat,Astronomia
AstroTubers,@astrotubers,Astronomia e Física
Leandro Lobo,@Lobo_Lele,Bacteriologia
Juliana,@pteridaceae,Biologia
Pokebio,@Pokebio_,Biologia
Bioacústico,@BioacusticoBr,Biologia
SapodePapo,@sapodepapo,Biologia
Projeto Marsupiais,@projetomarsu,Biologia
Sobre tubarões 🦈 (em 🏡),@sobretubaroes,Biologia
Bruno Ferreira🦜,@SapiensBruno,Biologia
Recifes de Corais - em 🏘️,@RCorais,Biologia
BatWoman🦇🏠,@morcegosdobr,Biologia
Beatriz Ramos 🌎,@ABeatriz_RO,Biologia
Caiçaca 🇱🇧,@GabrielC1496,Biologia
Matheus Reis,@matheus_reis8,Biologia
Bio's Fera,@canalbiosfera,Biologia
Luiz Almeida,@luizgualmeida,Biologia
Clara Salvino,@Clarasalvino,Biologia
Letícia M,@eueasplantas,Biologia
Biólogo Henrique #61k,@BiologoHenrique,Biologia
Biólogo de Tuíter,@o_weverton,Biologia
Sporum,@projetosporum,Biologia
Rubens Pasa,@rubenspasa ,Biologia
Netos de Darwin,netosdedarwin,Biologia
Vida de biólogo(a),@vidadebiologo,Biologia
Biologia na Web,@biologianaweb,Biologia
Ka,@maniraptora_,Biologia
Voyeur De Animais Coloridos,@VColoridos,Biologia
Fabio Machado,@FabioLugar,Biologia
Hugo Fernandes-Ferreira,@hfernandesbio,Biologia
Labe Mori,@MoriLabe,Biologia
Diego Caetité,@diego_bcae7,Biologia
Marx Lima,@marxlima,Biologia
Tarcio Fabrício,@tarciofabricio,Biologia
Sobre golfinhos e soldadinhos!,@amrodstef,Biologia e Ecologia
Descobrindo o Mar,@bio_marinha,Biologia Marinha
Descobrindo o Mar,@Bio_marinha ,Biologia Marinha
A(mar),@H2ohealthy ,Biologia Marinha
Julia Bitencourt,@juliabtencourt_,Biomedicina
Bárbara Paes,@barbara_paes,Biotecnologia
PlantaCiência 🌱,@plantaciencia,Botânica
