date,observed,estimate,upper,lower,type
2020-03-01,0,0,0,0,covid
2020-03-02,0,0,0,0,covid
2020-03-03,0,0,0,0,covid
2020-03-04,0,0,0,0,covid
2020-03-05,0,0,0,0,covid
2020-03-06,0,0,0,0,covid
2020-03-07,0,0,0,0,covid
2020-03-08,0,0,0,0,covid
2020-03-09,0,0,0,0,covid
2020-03-10,0,0,0,0,covid
2020-03-11,0,0,0,0,covid
2020-03-12,0,0,0,0,covid
2020-03-13,0,0,0,0,covid
2020-03-14,0,0,0,0,covid
2020-03-15,0,0,0,0,covid
2020-03-16,0,0,0,0,covid
2020-03-17,0,0,0,0,covid
2020-03-18,0,0,0,0,covid
2020-03-19,1,1,1,1,covid
2020-03-20,1,1,1,1,covid
2020-03-21,1,1,1,1,covid
2020-03-22,1,1,1,1,covid
2020-03-23,1,1,1,1,covid
2020-03-24,2,2,2,2,covid
2020-03-25,2,2,2,2,covid
2020-03-26,3,3,3,3,covid
2020-03-27,3,3,3,3,covid
2020-03-28,4,4,4,4,covid
2020-03-29,5,5,5,5,covid
2020-03-30,7,7,7,7,covid
2020-03-31,7,7,7,7,covid
2020-04-01,7,7,7,7,covid
2020-04-02,8,8,8,8,covid
2020-04-03,9,9,9,9,covid
2020-04-04,9,9,9,9,covid
2020-04-05,10,10,10,10,covid
2020-04-06,11,11,11,11,covid
2020-04-07,11,11,11,11,covid
2020-04-08,10,10,10,10,covid
2020-04-09,8,8,8,8,covid
2020-04-10,9,9,9,9,covid
2020-04-11,9,9,9,9,covid
2020-04-12,9,9,9,9,covid
2020-04-13,8,8,8,8,covid
2020-04-14,9,9,9,9,covid
2020-04-15,10,10,10,10,covid
2020-04-16,9,9,9,9,covid
2020-04-17,10,10,10,10,covid
2020-04-18,11,11,11,11,covid
2020-04-19,13,13,13,13,covid
2020-04-20,14,14,14,14,covid
2020-04-21,16,16,16,16,covid
2020-04-22,16,16,16,16,covid
2020-04-23,16,16,16,16,covid
2020-04-24,13,13,13,13,covid
2020-04-25,14,14,14,14,covid
2020-04-26,14,14,14,14,covid
2020-04-27,12,12,12,12,covid
2020-04-28,12,12,12,12,covid
2020-04-29,10,10,10,10,covid
2020-04-30,6,6,6,6,covid
2020-05-01,6,6,6,6,covid
2020-05-02,8,8,8,8,covid
2020-05-03,7,7,7,7,covid
2020-05-04,7,7,7,7,covid
2020-05-05,7,7,7,7,covid
2020-05-06,11,11,11,11,covid
2020-05-07,12,12,12,12,covid
2020-05-08,13,13,13,13,covid
2020-05-09,16,16,18,16,covid
2020-05-10,17,18,19,19,covid
2020-05-11,17,20,19,21,covid
2020-05-12,17,22,22,24,covid
2020-05-13,20,26,24,30,covid
2020-05-14,21,29,29,30,covid
2020-05-15,21,30,31,31,covid
2020-05-16,22,34,35,31,covid
2020-05-17,23,38,38,34,covid
2020-05-18,23,41,43,38,covid
2020-05-19,26,43,49,42,covid
2020-05-20,32,53,60,49,covid
2020-05-21,33,58,64,52,covid
2020-05-22,33,59,70,51,covid
2020-05-23,35,63,75,56,covid
2020-05-24,33,61,77,56,covid
2020-05-25,34,65,82,59,covid
2020-05-26,40,73,95,63,covid
2020-05-27,43,74,104,69,covid
2020-05-28,43,72,105,69,covid
2020-05-29,48,80,114,74,covid
2020-05-30,44,72,111,71,covid
2020-05-31,45,75,118,76,covid
2020-06-01,52,81,124,85,covid
2020-06-02,49,77,121,80,covid
2020-06-03,48,81,123,78,covid
2020-06-04,45,77,121,74,covid
2020-06-05,43,76,116,73,covid
2020-06-06,44,76,128,74,covid
2020-06-07,44,76,135,72,covid
2020-06-08,44,79,140,70,covid
2020-06-09,41,75,143,66,covid
2020-06-10,37,69,145,62,covid
2020-06-11,40,70,154,69,covid
2020-06-12,45,75,162,71,covid
2020-06-13,42,74,171,67,covid
2020-06-14,40,72,177,65,covid
2020-03-01,5,5,5,5,srag
2020-03-02,5,5,5,5,srag
2020-03-03,6,6,6,6,srag
2020-03-04,5,5,5,5,srag
2020-03-05,7,7,7,7,srag
2020-03-06,7,7,7,7,srag
2020-03-07,7,7,7,7,srag
2020-03-08,7,7,7,7,srag
2020-03-09,8,8,8,8,srag
2020-03-10,8,8,8,8,srag
2020-03-11,9,9,9,9,srag
2020-03-12,8,8,8,8,srag
2020-03-13,8,8,8,8,srag
2020-03-14,8,8,8,8,srag
2020-03-15,8,8,8,8,srag
2020-03-16,11,11,11,11,srag
2020-03-17,13,13,13,13,srag
2020-03-18,17,17,17,17,srag
2020-03-19,20,20,20,20,srag
2020-03-20,22,22,22,22,srag
2020-03-21,20,20,20,20,srag
2020-03-22,21,21,21,21,srag
2020-03-23,25,25,25,25,srag
2020-03-24,27,27,27,27,srag
2020-03-25,31,31,31,31,srag
2020-03-26,32,32,32,32,srag
2020-03-27,38,38,38,38,srag
2020-03-28,42,42,42,42,srag
2020-03-29,46,46,46,46,srag
2020-03-30,51,51,51,51,srag
2020-03-31,48,48,48,48,srag
2020-04-01,51,51,51,51,srag
2020-04-02,54,54,54,54,srag
2020-04-03,59,59,59,59,srag
2020-04-04,60,60,60,60,srag
2020-04-05,63,63,63,63,srag
2020-04-06,59,59,59,59,srag
2020-04-07,61,61,61,61,srag
2020-04-08,64,64,64,64,srag
2020-04-09,62,62,62,62,srag
2020-04-10,68,68,68,68,srag
2020-04-11,71,71,71,71,srag
2020-04-12,72,72,72,72,srag
2020-04-13,77,77,77,77,srag
2020-04-14,83,83,83,83,srag
2020-04-15,84,84,84,84,srag
2020-04-16,81,81,81,81,srag
2020-04-17,82,82,82,82,srag
2020-04-18,78,78,78,78,srag
2020-04-19,80,80,80,80,srag
2020-04-20,87,87,87,87,srag
2020-04-21,86,86,86,86,srag
2020-04-22,90,90,90,90,srag
2020-04-23,83,83,83,83,srag
2020-04-24,83,83,83,83,srag
2020-04-25,79,79,79,79,srag
2020-04-26,80,80,80,80,srag
2020-04-27,80,80,80,80,srag
2020-04-28,79,79,79,79,srag
2020-04-29,76,76,76,76,srag
2020-04-30,68,68,68,68,srag
2020-05-01,65,65,65,65,srag
2020-05-02,64,64,64,64,srag
2020-05-03,65,65,65,65,srag
2020-05-04,70,70,70,70,srag
2020-05-05,69,69,69,69,srag
2020-05-06,80,80,80,80,srag
2020-05-07,80,80,80,80,srag
2020-05-08,88,88,88,88,srag
2020-05-09,85,85,85,85,srag
2020-05-10,84,84,84,84,srag
2020-05-11,86,86,88,86,srag
2020-05-12,96,96,99,96,srag
2020-05-13,101,101,105,101,srag
2020-05-14,106,106,110,106,srag
2020-05-15,104,104,111,104,srag
2020-05-16,108,108,121,108,srag
2020-05-17,111,111,128,111,srag
2020-05-18,109,109,130,109,srag
2020-05-19,113,113,140,113,srag
2020-05-20,121,121,150,121,srag
2020-05-21,122,122,155,122,srag
2020-05-22,123,123,156,123,srag
2020-05-23,121,121,158,121,srag
2020-05-24,118,118,158,118,srag
2020-05-25,119,119,165,119,srag
2020-05-26,134,134,185,134,srag
2020-05-27,132,132,187,132,srag
2020-05-28,130,130,191,130,srag
2020-05-29,126,126,189,126,srag
2020-05-30,124,124,195,124,srag
2020-05-31,123,123,198,123,srag
2020-06-01,134,134,218,134,srag
2020-06-02,139,139,228,139,srag
2020-06-03,138,138,231,138,srag
2020-06-04,141,141,244,141,srag
2020-06-05,145,145,261,145,srag
2020-06-06,141,141,266,141,srag
2020-06-07,142,143,266,142,srag
2020-06-08,153,154,282,153,srag
2020-06-09,150,151,288,150,srag
2020-06-10,141,142,289,141,srag
2020-06-11,140,144,294,140,srag
2020-06-12,151,161,315,151,srag
2020-06-13,152,164,327,152,srag
2020-06-14,149,162,336,149,srag
2020-06-15,156,174,350,156,srag
2020-06-16,147,174,361,147,srag
2020-06-17,139,170,368,139,srag
