"estimativa","ic.inf","ic.sup","data"
1.97612910632502,0.907067309963998,-33.7545327025317,2020-04-15
2.33821929803558,1.09680587772936,-48.7503337211044,2020-04-16
2.80574877274926,1.29675495881403,-28.2129701742267,2020-04-17
3.45925893466183,1.5242598963209,-15.8990775158547,2020-04-18
4.45894739535702,1.7981816494723,-10.2218857455727,2020-04-19
4.10844089995343,1.84177723859887,-21.0378524123773,2020-04-21
3.20722753146638,1.70786960260473,21.2124790531472,2020-04-23
3.05150014344311,1.7364197201704,11.4476208574272,2020-04-24
3.74585631833076,2.03296155325355,21.1051099151555,2020-04-25
4.41516817677203,2.33135497662546,36.0052284255397,2020-04-26
5.28227745529381,2.65729008216617,200.646777517118,2020-04-27
5.46641692911025,2.79148606202398,100.792035461583,2020-04-28
5.77879109521565,2.95443239133459,104.740052615997,2020-04-29
7.11228880243453,3.38085240474448,-75.8024401054323,2020-04-30
6.65140381922825,3.35532556453967,250.148351521296,2020-05-01
7.69125401508316,3.69368002178606,-103.744736127988,2020-05-02
6.99417179279128,3.6115848689101,98.8348420103997,2020-05-03
6.95704585518114,3.68882411104463,57.6488539785793,2020-05-04
7.21654313623309,3.84708869746296,55.4223813956445,2020-05-05
7.70030564232178,4.06239647034249,69.9644639621572,2020-05-06
10.4902129948043,4.83802924247032,-64.296876674406,2020-05-07
12.3175715379085,5.29096078582879,-38.1083301740263,2020-05-08
13.7353899912396,5.63150288556849,-31.613674518073,2020-05-09
15.6436671961771,6.01388573475371,-26.2077614890513,2020-05-10
16.3373789655168,6.19759689639441,-25.8535735851463,2020-05-11
13.9470430056608,5.90801568446309,-39.0947215574895,2020-05-12
11.8993127635593,5.58600887968692,-94.0947413750206,2020-05-13
10.8864038170639,5.42489352463285,-3393.56024864871,2020-05-14
11.3674906845969,5.62750943615898,-682.731761848469,2020-05-15
12.5070042203049,5.99187219242072,-148.550214337961,2020-05-16
13.1892630085378,6.23223899590196,-116.385497790551,2020-05-17
16.2345494431089,6.92481720694629,-47.5316510370221,2020-05-18
21.096464605102,7.77773039402842,-29.7267606498006,2020-05-19
26.457751490783,8.50574444057713,-23.8804196024177,2020-05-20
22.5527106042151,8.14101535276998,-29.3771814470171,2020-05-21
16.4039556025051,7.24071815589621,-62.362501474375,2020-05-22
15.0007600829424,7.03106464775597,-114.399563409226,2020-05-23
14.9703086787211,7.10485111992633,-142.869765181991,2020-05-24
17.1376575873586,7.65072985528729,-72.0593990520253,2020-05-25
18.7626212928222,8.05351450364566,-57.2634069460489,2020-05-26
20.4624244163991,8.4376757743386,-48.362170345589,2020-05-27
21.5409124491594,8.70241442011711,-45.5094260923529,2020-05-28
21.8493642927852,8.8372378272211,-46.4355878250445,2020-05-29
21.8126421889596,8.91924111901225,-49.1559008482926,2020-05-30
22.8282567825426,9.16195011479362,-46.6015361773615,2020-05-31
26.7476983113245,9.8207805693073,-37.0542104539666,2020-06-01
33.4000799268691,10.6829452264643,-29.6942903367138,2020-06-02
37.8365871048716,11.1866875966269,-27.4051919488474,2020-06-03
35.6565838687904,11.0587145457347,-29.1627270995133,2020-06-04
35.4629779680692,11.1133545186478,-29.8150056279352,2020-06-05
33.7059819169911,11.0077899019134,-31.7845109050439,2020-06-06
35.1995145156436,11.2405371432498,-31.1513218378748,2020-06-07
35.8766536090401,11.3827616124708,-31.1878017423683,2020-06-08
37.4243849419523,11.6091380165512,-30.6197577031222,2020-06-09
36.4475284756582,11.5925281459814,-31.8984275868164,2020-06-10
