date,observed,estimate,upper,lower,type
2020-03-08,4,4,4,4,covid
2020-03-09,5,5,5,5,covid
2020-03-10,6,6,6,6,covid
2020-03-11,9,9,9,9,covid
2020-03-12,15,15,15,15,covid
2020-03-13,21,21,22,21,covid
2020-03-14,30,30,31,30,covid
2020-03-15,43,43,44,43,covid
2020-03-16,55,55,59,55,covid
2020-03-17,77,77,81,77,covid
2020-03-18,111,111,116,111,covid
2020-03-19,141,141,150,141,covid
2020-03-20,170,170,182,170,covid
2020-03-21,199,201,222,199,covid
2020-03-22,237,242,276,237,covid
2020-03-23,275,284,325,275,covid
2020-03-24,318,335,381,318,covid
2020-03-25,346,370,423,346,covid
2020-03-26,389,425,481,389,covid
2020-03-27,443,489,555,445,covid
2020-03-28,483,539,630,488,covid
2020-03-29,515,581,697,522,covid
2020-03-30,541,634,757,555,covid
2020-03-31,569,680,825,587,covid
2020-04-01,593,718,897,621,covid
2020-04-02,609,758,941,651,covid
2020-04-03,632,817,1006,691,covid
2020-04-04,629,838,1070,704,covid
2020-04-05,633,878,1151,736,covid
2020-04-06,623,904,1212,751,covid
2020-04-07,623,950,1270,768,covid
2020-04-08,607,982,1319,777,covid
2020-03-08,118,118,118,118,srag
2020-03-09,121,121,121,121,srag
2020-03-10,127,127,127,127,srag
2020-03-11,133,133,133,133,srag
2020-03-12,157,157,157,157,srag
2020-03-13,170,170,170,170,srag
2020-03-14,187,187,187,187,srag
2020-03-15,220,221,222,220,srag
2020-03-16,272,273,277,272,srag
2020-03-17,327,328,341,327,srag
2020-03-18,425,426,443,425,srag
2020-03-19,530,536,556,530,srag
2020-03-20,630,638,661,630,srag
2020-03-21,743,752,785,743,srag
2020-03-22,836,847,891,837,srag
2020-03-23,978,992,1041,980,srag
2020-03-24,1113,1131,1192,1115,srag
2020-03-25,1235,1260,1323,1237,srag
2020-03-26,1374,1410,1475,1381,srag
2020-03-27,1512,1557,1639,1521,srag
2020-03-28,1633,1690,1790,1645,srag
2020-03-29,1713,1790,1901,1727,srag
2020-03-30,1828,1935,2039,1849,srag
2020-03-31,1979,2104,2223,2008,srag
2020-04-01,2068,2211,2346,2105,srag
2020-04-02,2148,2319,2454,2199,srag
2020-04-03,2237,2432,2587,2297,srag
2020-04-04,2301,2534,2707,2379,srag
2020-04-05,2369,2650,2822,2471,srag
2020-04-06,2436,2756,2956,2559,srag
2020-04-07,2496,2870,3103,2666,srag
2020-04-08,2519,2963,3199,2726,srag
2020-04-09,2519,3047,3305,2776,srag
