"AC" 21838 23217 "17/08/2020"
"AL" 72318 74855 "17/08/2020"
"AM" 110372 113450 "17/08/2020"
"AP" 38779 40605 "17/08/2020"
"BA" 215189 219606 "17/08/2020"
"CE" 195042 199123 "17/08/2020"
"DF" 137875 141421 "17/08/2020"
"ES" 100451 103457 "17/08/2020"
"GO" 103633 106817 "17/08/2020"
"MA" 135929 139356 "17/08/2020"
"MG" 169674 173592 "17/08/2020"
"MS" 36186 38050 "17/08/2020"
"MT" 76177 78897 "17/08/2020"
"PA" 175202 179088 "17/08/2020"
"PB" 95158 98044 "17/08/2020"
"PE" 109352 112429 "17/08/2020"
"PI" 64534 66937 "17/08/2020"
"PR" 109848 113122 "17/08/2020"
"RJ" 192013 196121 "17/08/2020"
"RN" 58900 61184 "17/08/2020"
"RO" 48001 50088 "17/08/2020"
"RR" 38590 40449 "17/08/2020"
"RS" 96520 99527 "17/08/2020"
"SC" 120282 123620 "17/08/2020"
"SE" 66684 69084 "17/08/2020"
"SP" 688435 696261 "17/08/2020"
"TO" 36490 38359 "17/08/2020"
