"estimativa","ic.inf","ic.sup","data"
5.5074720079113,1.9743874056905,-7.37007151389037,2020-03-18
6.20483871226903,2.14561873434051,-7.26177168305705,2020-03-20
6.90135376130403,2.30865947732032,-7.22111994078079,2020-03-21
6.43709132974161,2.33700950223352,-8.88636756914594,2020-03-22
6.57997381953802,2.43505866915384,-9.74715102463081,2020-03-23
7.22260334929943,2.59849394570676,-9.56836461164084,2020-03-24
8.52441795162035,2.83502477364442,-8.66152108688053,2020-03-26
8.09403257118711,2.8799060183725,-10.2446875042025,2020-03-27
6.90135376130415,2.78637578056695,-15.0631683032589,2020-03-28
5.99270054366363,2.69991274490932,-29.5549537182402,2020-03-29
5.71420647473829,2.72172328530036,-67.6658352268694,2020-03-30
7.13337941187684,3.10464127491284,-25.1072927037305,2020-03-31
8.48228811737908,3.42789223272535,-18.3567081762325,2020-04-02
11.8066515049752,3.97072563668276,-12.2743841032729,2020-04-03
12.6232577220783,4.15322188162467,-12.2722004760356,2020-04-04
12.5370674019225,4.21419354029625,-12.9957063564598,2020-04-05
14.8019605487658,4.52090155842032,-11.7071870570767,2020-04-06
13.8479152528701,4.50463004846531,-13.0043291191618,2020-04-08
16.3628821624341,4.82736221289202,-11.8505001113635,2020-04-09
16.9698406479372,4.94306651856832,-11.9125059384081,2020-04-10
15.7751588614523,4.91125885411543,-13.1034525931221,2020-04-11
18.5304542796457,5.23252053844619,-12.0829774920684,2020-04-12
15.443705564379,5.02040416358173,-14.4509444164432,2020-04-13
13.5009557776077,4.86898347131004,-17.631956902078,2020-04-14
13.1539759479982,4.90584189080228,-19.5011236222092,2020-04-15
11.2885315233598,4.69408196268923,-28.3319533454552,2020-04-16
13.1300455132525,5.06910287376243,-22.4777337831733,2020-04-17
17.2865019660311,5.67377870768968,-16.6069713126859,2020-04-18
25.7249968829354,6.4458963030906,-12.9577846091294,2020-04-20
42.2770536599138,7.23044418662672,-11.0050062022549,2020-04-21
42.9702802768109,7.29976582606,-11.0715398067619,2020-04-24
24.5597406945672,6.54014141046592,-14.0341355192793,2020-04-25
20.6583124147311,6.28608613875551,-16.1233440800942,2020-04-26
18.0636227479345,6.08784585520252,-18.7725164015529,2020-04-27
20.2064913029712,6.38459085161782,-17.4176472595356,2020-04-28
25.1529664707277,6.90113897385296,-15.335682814322,2020-04-29
25.7769992427754,7.00995499079079,-15.4102847326548,2020-04-30
29.4131693006742,7.3278517316252,-14.6369128383785,2020-05-01
31.796676347193,7.52739503349345,-14.3237947408967,2020-05-02
42.4370292632498,8.07060495209953,-13.0413734457036,2020-05-03
46.6674490433173,8.26351416745131,-12.8091817940275,2020-05-04
47.4761967428603,8.34761428228522,-12.8894458938522,2020-05-05
44.4633753464517,8.29787359131975,-13.2552153691138,2020-05-06
39.1806071193537,8.14717636897725,-13.9672911972498,2020-05-07
35.222275563368,8.01830281371488,-14.7443049789423,2020-05-08
30.6303088789582,7.81927002018287,-16.0073861178211,2020-05-09
27.2360545420009,7.63868947349453,-17.4383357035232,2020-05-10
30.4916485410384,7.9396177569979,-16.6001265711485,2020-05-11
