"estimativa","ic.inf","ic.sup","data"
2.95059303796705,2.66772033850962,3.29866518344758,2020-03-15
3.00433100559275,2.74132030095247,3.32166492139761,2020-03-16
3.21511423269663,2.94444337431947,3.5393032300692,2020-03-17
3.57216110937333,3.27133230495842,3.93275769026387,2020-03-18
3.97705713189781,3.63841741150043,4.38412379560423,2020-03-19
4.18015147481022,3.83710167722886,4.58962162926169,2020-03-20
4.38686973576784,4.03727361784361,4.80191186095025,2020-03-21
4.77306953648431,4.38957984458582,5.22919179072312,2020-03-22
5.02532517603757,4.62939628050316,5.49459604206222,2020-03-23
5.46571217038993,5.02900167967199,5.98480031843987,2020-03-24
5.82023191326478,5.35416387324881,6.37453249966533,2020-03-25
6.32882237734926,5.80954337291814,6.94941456351056,2020-03-26
7.26095882704593,6.61749327761433,8.04237874976463,2020-03-27
8.16249047532895,7.39061724302809,9.11370340774306,2020-03-28
9.13190612888662,8.21091528926376,10.2848827522504,2020-03-29
10.0342710035529,8.96967510909152,11.3848593452772,2020-03-30
10.7661222621141,9.58575848549025,12.2772400481646,2020-03-31
10.7632877617632,9.61765744924996,12.2180477662566,2020-04-01
11.161637269086,9.96823319288726,12.6789657223619,2020-04-02
11.933142570622,10.6143175467107,13.6254903088219,2020-04-03
12.9345753545276,11.4362541177712,14.8839629031269,2020-04-04
14.4843996435201,12.6737776049319,16.8977960584847,2020-04-05
14.9287291345396,13.0521444496885,17.4347546142887,2020-04-06
15.4611820081637,13.4967671228893,18.094050388341,2020-04-07
15.7399705493951,13.7477498577751,18.4066785798051,2020-04-08
16.1794736456428,14.1213464717056,18.9391331153691,2020-04-09
15.6114301173204,13.7243041043113,18.0995832813402,2020-04-10
15.5818041315677,13.7369068295586,17.9984840457739,2020-04-11
15.9254974369795,14.0396690196265,18.395918599624,2020-04-12
16.2230702607439,14.3072009693633,18.7307651246729,2020-04-13
16.7916368294391,14.786294961776,19.4256476652571,2020-04-14
15.9546244987795,14.1671867788204,18.2576729676357,2020-04-15
15.9539240779757,14.2002385660811,18.2012704975396,2020-04-16
16.0874892657543,14.3397791555191,18.3198458977012,2020-04-17
15.94047989544,14.2560964428393,18.075748602094,2020-04-18
16.2679357176884,14.5508766168507,18.4439933422635,2020-04-19
15.1851769088909,13.7085690294412,17.0178891178282,2020-04-20
15.4423678525431,13.9477973051623,17.2952909750821,2020-04-21
16.2980103337986,14.6737775715879,18.3261727857031,2020-04-22
17.4053737546358,15.5986135137701,19.6851017018107,2020-04-23
19.2574953998447,17.1083744650833,22.0236766906531,2020-04-24
18.9928176210448,16.9328025425792,21.6230732025784,2020-04-25
19.5264904810778,17.3898172901424,22.2613589463184,2020-04-26
19.8710052867664,17.6967241508009,22.6539928845474,2020-04-27
20.7477953259862,18.4241643039659,23.7417015251078,2020-04-28
22.4588215280715,19.7989741781325,25.9437935762672,2020-04-29
