dt_int,observed,estimate,upper,lower
2020-01-02,1,1,1,1
2020-01-06,1,1,1,1
2020-01-10,1,1,1,1
2020-01-15,1,1,1,1
2020-01-19,1,1,1,1
2020-01-21,1,1,1,1
2020-01-29,2,2,2,2
2020-02-05,1,1,1,1
2020-02-10,1,1,1,1
2020-02-12,1,1,1,1
2020-02-13,2,2,2,2
2020-02-16,1,1,1,1
2020-02-18,1,1,1,1
2020-02-24,1,1,1,1
2020-02-26,1,1,1,1
2020-03-01,2,2,2,2
2020-03-02,2,2,2,2
2020-03-03,1,1,1,1
2020-03-08,3,3,3,3
2020-03-09,2,2,2,2
2020-03-10,1,1,1,1
2020-03-11,1,1,1,1
2020-03-12,5,5,5,5
2020-03-13,3,3,3,3
2020-03-14,3,3,3,3
2020-03-17,3,3,3,3
2020-03-18,7,7,7,7
2020-03-19,11,11,11,11
2020-03-20,14,14,14,14
2020-03-21,12,12,12,12
2020-03-22,7,7,7,7
2020-03-23,19,19,19,19
2020-03-24,15,15,15,15
2020-03-25,7,7,7,7
2020-03-26,7,7,7,7
2020-03-27,16,16,16,16
2020-03-28,11,11,11,11
2020-03-29,18,18,18,18
2020-03-30,18,18,18,18
2020-03-31,19,19,19,19
2020-04-01,14,14,14,14
2020-04-02,18,18,18,18
2020-04-03,15,15,15,15
2020-04-04,12,12,12,12
2020-04-05,10,10,10,10
2020-04-06,21,21,21,21
2020-04-07,12,12,12,12
2020-04-08,22,22,22,22
2020-04-09,17,17,17,17
2020-04-10,9,9,9,9
2020-04-11,17,17,17,17
2020-04-12,13,13,13,13
2020-04-13,21,21,21,21
2020-04-14,22,22,22,22
2020-04-15,20,20,20,20
2020-04-16,20,20,20,20
2020-04-17,20,20,20,20
2020-04-18,10,10,10,10
2020-04-19,12,12,12,12
2020-04-20,12,12,12,12
2020-04-21,22,22,22,22
2020-04-22,16,16,16,16
2020-04-23,22,22,22,22
2020-04-24,25,25,25,25
2020-04-25,19,19,19,19
2020-04-26,22,22,22,22
2020-04-27,36,36,36,36
2020-04-28,25,25,25,25
2020-04-29,20,20,20,20
2020-04-30,21,21,21,21
2020-05-01,15,15,15,15
2020-05-02,17,17,17,17
2020-05-03,27,27,27,27
2020-05-04,20,20,20,20
2020-05-05,21,21,22,21
2020-05-06,38,38,40,38
2020-05-07,20,20,22,20
2020-05-08,12,12,16,12
2020-05-09,23,23,27,23
2020-05-10,30,30,32,30
2020-05-11,25,25,26,25
2020-05-12,40,40,49,40
2020-05-13,37,37,44,37
2020-05-14,30,30,35,30
2020-05-15,33,33,43,33
2020-05-16,22,22,29,22
2020-05-17,27,27,37,27
2020-05-18,40,40,47,40
2020-05-19,26,26,33,26
2020-05-20,41,41,47,41
2020-05-21,32,32,39,32
2020-05-22,31,31,44,31
2020-05-23,29,29,40,29
2020-05-24,18,18,27,18
2020-05-25,26,26,35,26
2020-05-26,19,19,33,19
2020-05-27,17,17,34,17
2020-05-28,30,30,41,30
2020-05-29,38,38,54,38
2020-05-30,28,29,49,28
2020-05-31,27,28,45,27
2020-06-01,38,38,58,38
2020-06-02,30,32,44,30
2020-06-03,27,32,46,27
2020-06-04,43,47,62,43
2020-06-05,29,38,51,29
2020-06-06,31,38,60,31
2020-06-07,34,46,68,36
2020-06-08,36,51,78,37
2020-06-09,25,37,72,27
2020-06-10,4,23,52,8
2020-06-11,NA,6,40,NA
2020-06-12,NA,12,31,NA
2020-06-13,NA,13,29,1
