"Index","predito","ic.low","ic.upp"
"2020-09-30",264587.550736122,263506.544464783,265672.991715377
"2020-10-01",265678.95283088,264290.636254376,267074.562223142
"2020-10-02",266774.856870379,265067.993371274,268492.711447538
"2020-10-03",267875.281424774,265842.763160296,269923.33944082
"2020-10-04",268980.245140821,266616.898989518,271364.540470709
