"Index","estimativa","ic.inf","ic.sup"
"2020-04-03",11.5764880072289,3.37171553423836,-8.17993474818464
"2020-04-04",12.3337509531886,3.51381251320833,-8.26097830239779
"2020-04-05",10.9647414037815,3.44986464406281,-9.43554015001682
"2020-04-06",14.9580652982711,3.84011683104945,-7.9575236031708
"2020-04-07",10.7938204812916,3.58443817022509,-10.8262754281549
"2020-04-08",7.62749694549342,3.21916439916452,-21.4136484292
"2020-04-09",5.17674378740983,2.7494324360332,40.1439926753617
"2020-04-10",4.99955711339597,2.76755922318598,24.5000140777244
"2020-04-11",7.02068929657668,3.40020642023221,-126.82932672001
"2020-04-12",9.25134735090979,3.95585789431142,-28.0329496134155
"2020-04-13",10.5259739045291,4.29374904178443,-23.7278475623459
"2020-04-14",7.14884553591089,3.67251015100849,117.934678944883
"2020-04-15",4.48457011573633,2.8750462910499,10.0440775120854
"2020-04-16",3.64780929264068,2.56606098800831,6.2483847866238
"2020-04-17",3.74950003211507,2.68262921641823,6.17881080713979
"2020-04-18",3.91167071722808,2.83720768327093,6.25786266284736
"2020-04-19",4.27154734757671,3.10219619713962,6.82118033376648
"2020-04-20",4.80493045488978,3.44967622124228,7.87869163339276
"2020-04-21",4.83299727805078,3.53350263117044,7.61580569896903
"2020-04-22",5.44003630336967,3.92655751775595,8.82246307898505
"2020-04-23",6.5531856712029,4.55699676156256,11.6234181021241
"2020-04-24",6.2140486775297,4.46250796556094,10.2013319669966
"2020-04-25",5.8870454263354,4.36335349908026,9.02581823595297
"2020-04-26",5.45248212075496,4.17682322695391,7.83543693843676
"2020-04-27",5.46586059819184,4.23996949403576,7.67653345829682
"2020-04-28",6.1541191927795,4.7143109101993,8.84717910454114
"2020-04-29",6.54160683616777,5.0070907055966,9.42001640470631
"2020-04-30",6.28772319041669,4.9163603346662,8.71029219101143
"2020-05-01",5.5824562128879,4.5257649316223,7.27606052289838
"2020-05-02",5.50747200791131,4.52597081255529,7.02682775878972
"2020-05-03",5.62632810898888,4.65518772063372,7.10438763024375
"2020-05-04",6.66518772263595,5.40240476518506,8.69262675608684
"2020-05-05",7.56917610037466,6.04779701273984,10.1070866840078
"2020-05-06",7.91377013649836,6.32502550543127,10.5624911785789
"2020-05-07",7.76515346947412,6.28528766303936,10.1514362771378
"2020-05-08",7.60524778939538,6.2282834855822,9.75948445905581
"2020-05-09",8.06195274843762,6.58688280812914,10.3840405979693
"2020-05-10",9.28888392616114,7.44115105404974,12.3525063657278
"2020-05-11",11.7628797117463,9.0217676086094,16.8899108491316
"2020-05-12",12.2871460231639,9.39772504802206,17.7354699173012
"2020-05-13",10.3402903184817,8.27364428381484,13.7786818829767
"2020-05-14",7.96655058010466,6.71952716372104,9.77919425421332
"2020-05-15",7.50134466475528,6.42276201016873,9.01304673400683
"2020-05-16",7.73443147787263,6.63592620067353,9.26666908009942
"2020-05-17",8.42636629029145,7.18691130749116,10.1802913613194
"2020-05-18",10.5470544073413,8.72865636102821,13.3197290332867
"2020-05-19",11.9371777235378,9.71710811347331,15.4690351760113
"2020-05-20",12.5383805625194,10.174817170969,16.3292622991164
"2020-05-21",11.1324830613433,9.27772021620144,13.9118086891112
"2020-05-22",9.25438755852053,7.96996904823797,11.0306720836039
"2020-05-23",9.51501402875,8.20316321588448,11.3247394092669
"2020-05-24",11.0098278428381,9.33823423077318,13.4085577934831
"2020-05-25",13.0404731812782,10.8150828886088,16.4168165955473
"2020-05-26",14.8571494486505,12.0960748235423,19.2490960291816
"2020-05-27",14.1849208185603,11.6992941639825,18.0095374826874
"2020-05-28",12.3101405767839,10.4358755737781,15.0033960228225
"2020-05-29",11.3859800956577,9.8029874390577,13.577318766847
"2020-05-30",11.3297432160892,9.80008423992144,13.4239840747346
"2020-05-31",12.7453331854238,10.8871137353552,15.3670434147664
"2020-06-01",14.9561557785415,12.5134043613791,18.5823040700639
"2020-06-02",14.4333308645393,12.1949795213079,17.6766332185443
"2020-06-03",13.1992959415449,11.3435737002954,15.7797311906516
"2020-06-04",12.7739639824734,11.0646056761122,15.1068910862387
"2020-06-05",10.7763590575339,9.56718867237745,12.3345881435092
"2020-06-06",10.5700183840821,9.43775464654181,12.0102679199297
"2020-06-07",10.5801704634458,9.47650315211941,11.9741155782376
"2020-06-08",12.499353890026,11.0232673431229,14.431079427733
"2020-06-09",17.3865894008243,14.7180663643815,21.2358937007024
"2020-06-10",18.0332564140655,15.2310067318407,22.0979504750422
"2020-06-11",16.2474358050754,13.9796419861677,19.3925056790679
"2020-06-12",13.4589473191994,11.8952989068822,15.4951897088702
"2020-06-13",12.8393929397004,11.4406608273078,14.6271528798808
"2020-06-14",14.0284173409188,12.4112012138583,16.1295684764393
"2020-06-15",17.2970152727345,14.9469245082952,20.5231433799873
"2020-06-16",19.3487279079952,16.5060074572793,23.373403004868
"2020-06-17",17.4241088822357,15.1274189639425,20.5422441499517
"2020-06-18",14.9672722708298,13.271893811496,17.1586298777705
"2020-06-19",14.1144913069047,12.6255905833422,16.0009770149111
"2020-06-20",12.2722853456082,11.1603132674099,13.6299489853893
"2020-06-21",12.4961914679361,11.3731871558942,13.8648676075217
"2020-06-22",14.4306750593484,12.9834415786513,16.2405694941793
"2020-06-23",16.0707598056372,14.3326161307403,18.2881670127428
"2020-06-24",17.5869495778093,15.5724268440136,20.1996115689885
"2020-06-25",14.5031544708098,13.1315131765312,16.1943747238481
"2020-06-26",12.6049189438102,11.5779871964076,13.8314400532412
"2020-06-27",13.7483704183607,12.5635526807681,15.1795996680019
