"Index","predito","ic.low","ic.upp"
"2020-04-15",26753.0518553443,26391.3345990751,27119.7267757662
"2020-04-16",28487.6423878119,27992.6130455783,28991.4259699328
"2020-04-17",30334.6987552652,29687.2777863961,30996.2386983948
"2020-04-18",32301.5129172774,31482.4251335506,33141.911155793
"2020-04-19",34395.8496229978,33384.8083002787,35437.50979927
