"Index","predito","ic.low","ic.upp"
"2020-09-14",106497.678038405,105808.791300915,107191.049894109
"2020-09-15",107572.65365912,106682.431186026,108470.304684815
"2020-09-16",108658.479963216,107557.385654544,109770.846474809
"2020-09-17",109755.266476274,108436.333447414,111090.241954
"2020-09-18",110863.123829414,109320.563206528,112427.450652595
