"estimativa","ic.inf","ic.sup","data"
0.763938206275236,0.723408454104452,0.808105286766902,2020-04-19
0.921893985290392,0.884942935308224,0.961462395170836,2020-04-26
1.11013700490417,1.07373421261551,1.14873526944326,2020-05-03
1.34887715581718,1.30958802563934,1.39034849328398,2020-05-10
1.75268429064828,1.70130451807686,1.80705672742401,2020-05-17
2.43427721163473,2.35304083922981,2.52111642569353,2020-05-24
3.52780979569621,3.38057060999556,3.68822047873895,2020-05-31
5.20552284318223,4.91807662011554,5.52835079931061,2020-06-07
7.38402641017527,6.85051970916679,8.00724813665376,2020-06-14
10.1765451416066,9.2283497029382,11.3413688719522,2020-06-21
13.8251047911255,12.1778599839748,15.986951476739,2020-06-28
18.2583511706242,15.5452926150796,22.1176082859932,2020-07-05
22.8652567050641,18.8239485713142,29.1148448486162,2020-07-12
27.5402504965761,21.94643107879,36.959310494453,2020-07-19
30.715687559358,23.9814467054541,42.7066824069096,2020-07-26
33.6001074733948,25.7700261897252,48.2628712672623,2020-08-02
35.6832023585471,27.044434488968,52.4286721568488,2020-08-09
37.0586338981003,27.8932753575497,55.1922689864064,2020-08-16
38.6445592603682,28.8502755308776,58.504006989563,2020-08-23
39.1890775901807,29.2188360900519,59.4850856413454,2020-08-30
39.9917330843603,29.7300133408133,61.0684427493398,2020-09-06
40.8565479562807,30.272504315794,62.8170981644475,2020-09-13
41.1782654572432,30.5159944420185,63.2897779756018,2020-09-20
40.8399913535737,30.3963888540866,62.213489138213,2020-09-27
40.384984366594,30.2086948803878,60.8975448443761,2020-10-04
41.3911224648636,30.833089490077,62.9424043778351,2020-10-11
43.9027123351666,32.2746509838292,68.6254995719849,2020-10-18
48.1676090764843,34.5956970701107,79.2586192772607,2020-10-25
55.1734515525593,38.1462693792351,99.6519206741086,2020-11-01
62.1026349908977,41.4170873708524,124.060813468922,2020-11-08
73.6369877115888,46.3380627098601,179.208416285463,2020-11-15
