"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
22,29,1.04306539425493,0.279630064844416,0.571888569552227,0.630595807091343,0.84305926562298,1.01758821424966,1.2140103120332,1.54211478267391,1.66225700817741,2020-03-29
29,36,1.35582495042572,0.328437173855696,0.790420004275968,0.865449758030632,1.12246977365936,1.32940769267636,1.55990867822461,1.93724666108129,2.07288848099641,2020-04-05
36,43,0.932612916686899,0.227710973811952,0.539554208108761,0.592648465814749,0.7718124323515,0.914343900184755,1.07320318139909,1.33892731644325,1.43115705499731,2020-04-12
43,50,0.736584762799989,0.247556239234036,0.335786107324733,0.383863833367194,0.557849349022836,0.707838198223038,0.884982879935087,1.18829977785655,1.29742702351635,2020-04-19
50,57,1.07791196324413,0.359142490305863,0.496482635633621,0.56528836891499,0.817768365098058,1.03800349610783,1.29273844858829,1.73091761419127,1.89051197926827,2020-04-26
57,64,1.51169373610278,0.406233072721175,0.822673773446422,0.910241603514294,1.22307795544088,1.47612711117195,1.76232060058616,2.23756650991713,2.4046483100447,2020-05-03
64,71,1.36125003942448,0.294376234753857,0.848263809799306,0.914511510289484,1.15316395329523,1.3397026821224,1.54686828842234,1.8844651008946,1.99838393229384,2020-05-10
71,78,1.60629897653208,0.249016650116227,1.16148379279802,1.22396067172316,1.43019298286777,1.59315006248055,1.76516361693361,2.04043353175133,2.1319556950743,2020-05-17
78,85,1.27093747200879,0.159847197653908,0.978634593184268,1.0205649952062,1.16082107216608,1.26229197217205,1.37378724278525,1.54585906807855,1.60538118868111,2020-05-24
85,92,1.04036367207094,0.122524371883818,0.81403716717718,0.847839482584095,0.954721606119688,1.03520988590705,1.12121408420485,1.24769348345339,1.29177109295447,2020-05-31
92,99,1.32567126306455,0.132168669975756,1.08066282951785,1.11595006702657,1.23394271414391,1.32136943539283,1.41225721484706,1.55057034441001,1.59700130394986,2020-06-07
99,106,1.34828326161038,0.112505731791212,1.1405008649271,1.17095346978596,1.27058627983325,1.3442560596873,1.421067205825,1.54012825074509,1.57966674664861,2020-06-14
106,113,1.08974125985685,0.0791973284471184,0.941450374402115,0.96341287836629,1.0351310321243,1.08733252576904,1.14168166206269,1.22363154948218,1.25105107378997,2020-06-21
113,120,1.07371092053904,0.0730188995561694,0.935281518342891,0.956246559629752,1.02370597536414,1.07195456578284,1.12168952286441,1.19681935681561,1.22174203564049,2020-06-28
120,127,1.27589832454821,0.0759888042439281,1.13199382367892,1.15396417010507,1.22333939585161,1.27399876586748,1.32637642646643,1.40442180022088,1.42936439701515,2020-07-05
127,134,1.11329160193818,0.0610819871979568,0.99810149347363,1.01556471568155,1.07174892326188,1.11154725865972,1.15322985568347,1.21685627471383,1.23763930019604,2020-07-12
134,141,1.05022604489292,0.0523317063880771,0.950441187379972,0.966153674717941,1.01441915093102,1.04911903728865,1.08478023732502,1.13840601923064,1.15601298753851,2020-07-19
141,148,1.04421300147207,0.0502554475418144,0.948667842322446,0.96352500993746,1.00991793664743,1.04323909698379,1.07776656721172,1.12837969984675,1.14515211051487,2020-07-26
148,155,1.08825485898972,0.049822402205069,0.992892644146535,1.00703699507002,1.05455635283677,1.08739677040843,1.12132132017586,1.17161206349295,1.18810106752733,2020-08-02
155,162,0.934754199876525,0.0436768566860773,0.850704048885011,0.864174423379003,0.905132318504823,0.934120639518929,0.963782406258434,1.00750211638976,1.02194698308206,2020-08-09
162,169,0.989926497630914,0.0487540777139937,0.896999343160693,0.911405714110544,0.956493600634395,0.989097787397107,1.02231484931334,1.07118105789997,1.08813589100921,2020-08-16
169,176,1.04954346037667,0.0487862990280371,0.95542352363575,0.970162720965482,1.01628225738707,1.0489125790116,1.08204310639888,1.13131542185741,1.14622765302341,2020-08-23
176,183,0.929840135010569,0.045021192828566,0.843669347628465,0.856904588039448,0.899085361567963,0.929236042263279,0.959628030304774,1.00517624465564,1.01942416634921,2020-08-30
183,190,0.948094036609194,0.0491719767692101,0.853761533694231,0.868616760062992,0.914794681231727,0.947157246918283,0.980849546017757,1.02998884142703,1.04648589715391,2020-09-06
190,197,1.00035708988816,0.0509477936323362,0.903076123717768,0.917722207037422,0.965408352444875,0.999432668465979,1.03420927466925,1.0855047534629,1.10350387788836,2020-09-13
197,204,1.00101720409283,0.0510609280924402,0.903642095609083,0.918804904268753,0.966335746643007,1.00032818967156,1.03466882683764,1.08630303773826,1.10353019928842,2020-09-20
204,211,0.94732633227607,0.0504555562371364,0.851297603905141,0.865647769389417,0.91280470722882,0.94651534176481,0.981124608493009,1.03115877846474,1.04777939422702,2020-09-27
211,218,0.86592476852642,0.0519074800750648,0.76717202546875,0.782405448668636,0.830113029595293,0.864839347961134,0.900239862786504,0.953348037742429,0.970561852098608,2020-10-04
218,225,0.907502801117771,0.0600318000545728,0.793588129374528,0.811031985923859,0.866452604976807,0.905994866377151,0.947049489427766,1.00832058435748,1.02974045393919,2020-10-11
225,232,0.888858930740524,0.0623012139863032,0.769989229220879,0.788471163899922,0.846313792117824,0.887705611434484,0.930453515957004,0.993697669418293,1.01405907154531,2020-10-18
232,239,0.883882851643924,0.0698809695157734,0.752467418521904,0.772027133611699,0.836213863162638,0.881751928151595,0.929935479186737,1.00204033999796,1.02601091527032,2020-10-25
239,246,1.04187503331742,0.0796897815107089,0.890849418265328,0.914265950153381,0.987167296692965,1.0398687088916,1.09432400030203,1.17619484448123,1.20274402173792,2020-11-01
