dt_int,observed,estimate,upper,lower
2020-03-25,1,1,1,1
2020-03-26,5,5,5,5
2020-03-27,1,1,1,1
2020-03-28,5,5,5,5
2020-03-29,1,1,1,1
2020-03-30,1,1,1,1
2020-03-31,2,2,2,2
2020-04-01,1,1,1,1
2020-04-02,4,4,4,4
2020-04-03,4,4,4,4
2020-04-05,3,3,3,3
2020-04-06,2,2,2,2
2020-04-10,2,2,2,2
2020-04-13,3,3,3,3
2020-04-15,1,1,1,1
2020-04-16,1,1,1,1
2020-04-17,2,2,2,2
2020-04-18,2,2,2,2
2020-04-19,3,3,3,3
2020-04-20,1,1,1,1
2020-04-21,4,4,4,4
2020-04-22,3,3,3,3
2020-04-23,3,3,3,3
2020-04-24,2,2,2,2
2020-04-25,3,3,3,3
2020-04-26,4,4,4,4
2020-04-27,6,6,6,6
2020-04-28,5,5,5,5
2020-04-29,5,5,5,5
2020-04-30,3,3,3,3
2020-05-01,5,5,5,5
2020-05-02,5,5,5,5
2020-05-03,1,1,1,1
2020-05-04,5,5,5,5
2020-05-05,9,9,9,9
2020-05-06,2,2,2,2
2020-05-07,1,1,1,1
2020-05-08,4,4,4,4
2020-05-09,4,4,4,4
2020-05-10,4,4,4,4
2020-05-11,8,8,8,8
2020-05-12,2,2,2,2
2020-05-13,1,1,1,1
2020-05-14,3,3,3,3
2020-05-15,4,4,4,4
2020-05-16,1,1,1,1
2020-05-17,3,3,3,3
2020-05-18,5,5,5,5
2020-05-19,4,4,4,4
2020-05-21,4,4,4,4
2020-05-25,2,2,2,2
2020-05-26,2,2,2,2
2020-05-27,6,6,6,6
2020-05-28,1,1,1,1
2020-05-29,3,3,3,3
2020-05-30,4,4,4,4
2020-05-31,2,2,2,2
2020-06-01,5,5,5,5
2020-06-02,3,3,3,3
2020-06-03,6,6,6,6
2020-06-04,3,3,3,3
2020-06-05,1,1,1,1
2020-06-06,7,7,7,7
2020-06-07,1,1,1,1
2020-06-08,3,3,3,3
2020-06-09,6,6,6,6
2020-06-10,4,4,4,4
2020-06-11,3,3,3,3
2020-06-12,3,3,3,3
2020-06-13,9,9,9,9
2020-06-14,3,3,3,3
2020-06-15,11,11,11,11
2020-06-16,6,6,6,6
2020-06-17,9,9,9,9
2020-06-18,20,20,21,20
2020-06-19,9,9,11,9
2020-06-20,3,3,5,3
2020-06-21,7,7,7,7
2020-06-22,10,10,11,10
2020-06-23,5,5,6,5
2020-06-24,4,4,12,4
2020-06-25,10,10,11,10
2020-06-26,5,5,8,5
2020-06-27,8,8,13,8
2020-06-28,13,13,17,13
2020-06-29,16,16,19,16
2020-06-30,9,9,13,9
2020-07-01,8,8,13,8
2020-07-02,11,11,16,11
2020-07-03,6,6,11,6
2020-07-04,12,12,17,12
2020-07-05,7,7,16,7
2020-07-06,16,16,21,16
2020-07-07,17,17,19,17
2020-07-08,11,11,16,11
2020-07-09,17,17,26,17
2020-07-10,19,19,24,19
2020-07-11,5,5,17,5
2020-07-12,11,11,23,11
2020-07-13,18,18,27,18
2020-07-14,14,14,28,14
2020-07-15,8,11,26,8
2020-07-16,15,20,33,15
2020-07-17,9,13,24,9
2020-07-18,6,8,26,6
2020-07-19,13,18,28,13
2020-07-20,12,13,35,12
2020-07-21,10,18,38,10
2020-07-22,13,19,34,13
2020-07-23,14,22,47,14
2020-07-24,3,9,29,3
2020-07-25,1,6,27,1
2020-07-26,3,5,33,3
2020-07-27,9,19,34,9
2020-07-28,4,11,27,4
2020-07-29,3,7,16,3
2020-07-30,NA,1,20,NA
2020-07-31,NA,4,19,NA
2020-08-01,NA,6,17,NA
2020-08-02,NA,2,7,NA
2020-08-03,NA,4,11,NA
2020-08-04,NA,2,8,NA
2020-08-05,NA,2,10,NA
2020-08-06,NA,3,8,NA
