date,observed,estimate,upper,lower,type
2020-03-01,9,9,9,9,srag
2020-03-02,11,11,11,11,srag
2020-03-03,11,11,11,11,srag
2020-03-04,11,11,11,11,srag
2020-03-05,12,12,12,12,srag
2020-03-06,13,13,13,13,srag
2020-03-07,17,17,17,17,srag
2020-03-08,15,15,15,15,srag
2020-03-09,20,20,20,20,srag
2020-03-10,20,20,20,20,srag
2020-03-11,19,19,19,19,srag
2020-03-12,20,20,20,20,srag
2020-03-13,21,21,21,21,srag
2020-03-14,29,29,29,29,srag
2020-03-15,31,31,31,31,srag
2020-03-16,33,33,33,33,srag
2020-03-17,38,38,38,38,srag
2020-03-18,49,49,49,49,srag
2020-03-19,52,52,52,52,srag
2020-03-20,59,59,59,59,srag
2020-03-21,72,72,72,72,srag
2020-03-22,82,82,82,82,srag
2020-03-23,109,109,109,109,srag
2020-03-24,123,123,123,123,srag
2020-03-25,140,140,140,140,srag
2020-03-26,159,159,159,159,srag
2020-03-27,180,180,180,180,srag
2020-03-28,191,191,191,191,srag
2020-03-29,199,199,199,199,srag
2020-03-30,209,209,209,209,srag
2020-03-31,211,211,211,211,srag
2020-04-01,206,206,206,206,srag
2020-04-02,201,201,201,201,srag
2020-04-03,220,220,220,220,srag
2020-04-04,217,217,217,217,srag
2020-04-05,220,220,220,220,srag
2020-04-06,224,224,224,224,srag
2020-04-07,218,218,218,218,srag
2020-04-08,225,225,225,225,srag
2020-04-09,225,225,225,225,srag
2020-04-10,230,230,230,230,srag
2020-04-11,238,238,238,238,srag
2020-04-12,240,240,240,240,srag
2020-04-13,243,243,243,243,srag
2020-04-14,230,230,230,230,srag
2020-04-15,229,229,229,229,srag
2020-04-16,237,237,237,237,srag
2020-04-17,232,232,232,232,srag
2020-04-18,223,223,223,223,srag
2020-04-19,222,222,222,222,srag
2020-04-20,226,226,226,226,srag
2020-04-21,225,225,225,225,srag
2020-04-22,225,225,225,225,srag
2020-04-23,227,227,227,227,srag
2020-04-24,229,229,229,229,srag
2020-04-25,244,244,244,244,srag
2020-04-26,246,246,246,246,srag
2020-04-27,261,261,261,261,srag
2020-04-28,254,254,254,254,srag
2020-04-29,261,261,261,261,srag
2020-04-30,277,277,277,277,srag
2020-05-01,297,297,297,297,srag
2020-05-02,301,301,301,301,srag
2020-05-03,307,307,307,307,srag
2020-05-04,320,320,320,320,srag
2020-05-05,310,310,310,310,srag
2020-05-06,338,338,338,338,srag
2020-05-07,339,339,339,339,srag
2020-05-08,341,341,341,341,srag
2020-05-09,335,335,335,335,srag
2020-05-10,354,354,354,354,srag
2020-05-11,373,373,373,373,srag
2020-05-12,380,380,380,380,srag
2020-05-13,390,390,390,390,srag
2020-05-14,420,420,420,420,srag
2020-05-15,426,426,426,426,srag
2020-05-16,404,404,404,404,srag
2020-05-17,404,404,404,404,srag
2020-05-18,417,417,417,417,srag
2020-05-19,410,410,410,410,srag
2020-05-20,431,431,431,431,srag
2020-05-21,438,438,438,438,srag
2020-05-22,450,450,450,450,srag
2020-05-23,447,447,447,447,srag
2020-05-24,451,451,451,451,srag
2020-05-25,460,460,460,460,srag
2020-05-26,464,464,464,464,srag
2020-05-27,465,465,465,465,srag
2020-05-28,452,452,452,452,srag
2020-05-29,444,444,444,444,srag
2020-05-30,444,444,444,444,srag
2020-05-31,443,443,443,443,srag
2020-06-01,467,467,467,467,srag
2020-06-02,463,463,463,463,srag
2020-06-03,486,486,486,486,srag
2020-06-04,496,496,496,496,srag
2020-06-05,504,504,504,504,srag
2020-06-06,513,513,513,513,srag
2020-06-07,525,525,525,525,srag
2020-06-08,546,546,546,546,srag
2020-06-09,557,557,557,557,srag
2020-06-10,587,587,587,587,srag
2020-06-11,571,571,571,571,srag
2020-06-12,584,584,584,584,srag
2020-06-13,608,608,608,608,srag
2020-06-14,625,625,625,625,srag
2020-06-15,633,633,633,633,srag
2020-06-16,617,617,617,617,srag
2020-06-17,623,623,623,623,srag
2020-06-18,630,630,630,630,srag
2020-06-19,637,637,637,637,srag
2020-06-20,628,628,628,628,srag
2020-06-21,649,649,649,649,srag
2020-06-22,648,648,648,648,srag
2020-06-23,653,653,653,653,srag
2020-06-24,665,665,665,665,srag
2020-06-25,687,687,687,687,srag
2020-06-26,690,690,690,690,srag
2020-06-27,692,692,692,692,srag
2020-06-28,708,708,708,708,srag
2020-06-29,735,735,735,735,srag
2020-06-30,751,751,751,751,srag
2020-07-01,759,759,759,759,srag
2020-07-02,749,749,749,749,srag
2020-07-03,756,756,756,756,srag
2020-07-04,734,734,734,734,srag
2020-07-05,755,755,755,755,srag
2020-07-06,770,770,770,770,srag
2020-07-07,768,768,768,768,srag
2020-07-08,799,799,799,799,srag
2020-07-09,830,830,830,830,srag
2020-07-10,843,843,843,843,srag
2020-07-11,865,865,865,865,srag
2020-07-12,879,879,879,879,srag
2020-07-13,883,883,883,883,srag
2020-07-14,890,890,890,890,srag
2020-07-15,900,900,900,900,srag
2020-07-16,876,876,876,876,srag
2020-07-17,881,881,881,881,srag
2020-07-18,852,852,852,852,srag
2020-07-19,853,853,853,853,srag
2020-07-20,887,887,887,887,srag
2020-07-21,898,898,898,898,srag
2020-07-22,888,888,888,888,srag
2020-07-23,891,891,891,891,srag
2020-07-24,914,914,914,914,srag
2020-07-25,900,900,900,900,srag
2020-07-26,892,892,892,892,srag
2020-07-27,901,901,901,901,srag
2020-07-28,892,892,892,892,srag
2020-07-29,871,871,871,871,srag
2020-07-30,878,878,878,878,srag
2020-07-31,851,851,851,851,srag
2020-08-01,836,836,836,836,srag
2020-08-02,843,843,843,843,srag
2020-08-03,849,849,849,849,srag
2020-08-04,863,863,863,863,srag
2020-08-05,860,860,860,860,srag
2020-08-06,861,861,861,861,srag
2020-08-07,853,853,853,853,srag
2020-08-08,842,842,842,842,srag
2020-08-09,854,854,854,854,srag
2020-08-10,875,875,875,875,srag
2020-08-11,857,857,857,857,srag
2020-08-12,851,851,851,851,srag
2020-08-13,860,860,860,860,srag
2020-08-14,856,856,856,856,srag
2020-08-15,851,851,851,851,srag
2020-08-16,847,847,847,847,srag
2020-08-17,866,866,866,866,srag
2020-08-18,873,873,873,873,srag
2020-08-19,868,868,868,868,srag
2020-08-20,867,867,867,867,srag
2020-08-21,874,874,874,874,srag
2020-08-22,843,843,843,843,srag
2020-08-23,831,831,831,831,srag
2020-08-24,847,847,847,847,srag
2020-08-25,825,825,825,825,srag
2020-08-26,825,825,825,825,srag
2020-08-27,822,822,822,822,srag
2020-08-28,817,817,817,817,srag
2020-08-29,817,817,817,817,srag
2020-08-30,824,824,824,824,srag
2020-08-31,849,849,849,849,srag
2020-09-01,873,873,873,873,srag
2020-09-02,858,858,858,858,srag
2020-09-03,870,870,870,870,srag
2020-09-04,871,871,871,871,srag
2020-09-05,864,864,864,864,srag
2020-09-06,876,876,876,876,srag
2020-09-07,879,879,879,879,srag
2020-09-08,868,868,868,868,srag
2020-09-09,879,879,879,879,srag
2020-09-10,848,848,848,848,srag
2020-09-11,844,844,844,844,srag
2020-09-12,839,839,839,839,srag
2020-09-13,861,861,861,861,srag
2020-09-14,880,880,880,880,srag
2020-09-15,878,878,878,878,srag
2020-09-16,862,862,862,862,srag
2020-09-17,856,856,856,856,srag
2020-09-18,865,865,865,865,srag
2020-09-19,850,850,851,850,srag
2020-09-20,860,860,861,860,srag
2020-09-21,869,869,874,869,srag
2020-09-22,863,863,872,863,srag
2020-09-23,867,867,877,867,srag
2020-09-24,863,863,879,863,srag
2020-09-25,864,864,884,864,srag
2020-09-26,853,853,881,853,srag
2020-09-27,867,867,899,867,srag
2020-09-28,891,891,929,891,srag
2020-09-29,883,883,927,883,srag
2020-09-30,877,877,927,877,srag
2020-10-01,859,859,912,859,srag
2020-10-02,848,848,900,848,srag
2020-10-03,849,849,907,849,srag
2020-10-04,859,859,925,859,srag
2020-10-05,872,872,949,872,srag
2020-10-06,850,850,933,850,srag
2020-10-07,832,832,923,832,srag
2020-10-08,822,822,922,822,srag
2020-10-09,816,817,912,816,srag
