date,observed,estimate,upper,lower,type
2020-03-01,0,0,0,0,covid
2020-03-02,0,0,0,0,covid
2020-03-03,0,0,0,0,covid
2020-03-04,0,0,0,0,covid
2020-03-05,0,0,0,0,covid
2020-03-06,0,0,0,0,covid
2020-03-07,0,0,0,0,covid
2020-03-08,0,0,0,0,covid
2020-03-09,0,0,0,0,covid
2020-03-10,0,0,0,0,covid
2020-03-11,0,0,0,0,covid
2020-03-12,0,0,0,0,covid
2020-03-13,0,0,0,0,covid
2020-03-14,0,0,0,0,covid
2020-03-15,0,0,0,0,covid
2020-03-16,0,0,0,0,covid
2020-03-17,0,0,0,0,covid
2020-03-18,0,0,0,0,covid
2020-03-19,2,2,2,2,covid
2020-03-20,3,3,3,3,covid
2020-03-21,2,2,2,2,covid
2020-03-22,2,2,2,2,covid
2020-03-23,2,2,2,2,covid
2020-03-24,3,3,3,3,covid
2020-03-25,3,3,3,3,covid
2020-03-26,4,4,4,4,covid
2020-03-27,4,4,4,4,covid
2020-03-28,5,5,5,5,covid
2020-03-29,7,7,7,7,covid
2020-03-30,7,7,7,7,covid
2020-03-31,6,6,6,6,covid
2020-04-01,7,7,7,7,covid
2020-04-02,8,8,8,8,covid
2020-04-03,6,6,6,6,covid
2020-04-04,6,6,6,6,covid
2020-04-05,6,6,6,6,covid
2020-04-06,7,7,7,7,covid
2020-04-07,8,8,8,8,covid
2020-04-08,8,8,8,8,covid
2020-04-09,9,9,9,9,covid
2020-04-10,8,8,8,8,covid
2020-04-11,8,8,8,8,covid
2020-04-12,9,9,9,9,covid
2020-04-13,8,8,8,8,covid
2020-04-14,8,8,8,8,covid
2020-04-15,7,7,7,7,covid
2020-04-16,7,7,7,7,covid
2020-04-17,7,7,7,7,covid
2020-04-18,8,8,8,8,covid
2020-04-19,9,9,9,9,covid
2020-04-20,9,9,9,9,covid
2020-04-21,10,10,10,10,covid
2020-04-22,11,11,11,11,covid
2020-04-23,10,10,10,10,covid
2020-04-24,9,9,9,9,covid
2020-04-25,9,9,9,9,covid
2020-04-26,9,9,9,9,covid
2020-04-27,8,8,8,8,covid
2020-04-28,9,9,9,9,covid
2020-04-29,10,10,10,10,covid
2020-04-30,11,11,11,11,covid
2020-05-01,11,11,11,11,covid
2020-05-02,7,7,7,7,covid
2020-05-03,8,8,8,8,covid
2020-05-04,11,11,11,11,covid
2020-05-05,12,12,12,12,covid
2020-05-06,11,11,11,11,covid
2020-05-07,11,11,11,11,covid
2020-05-08,12,12,12,12,covid
2020-05-09,12,12,12,12,covid
2020-05-10,14,14,14,14,covid
2020-05-11,16,16,16,16,covid
2020-05-12,16,16,16,16,covid
2020-05-13,19,19,19,19,covid
2020-05-14,19,19,19,19,covid
2020-05-15,17,17,17,17,covid
2020-05-16,18,18,18,18,covid
2020-05-17,19,19,19,19,covid
2020-05-18,23,23,23,23,covid
2020-05-19,22,22,22,22,covid
2020-05-20,21,21,22,21,covid
2020-05-21,19,19,22,19,covid
2020-05-22,15,15,20,15,covid
2020-05-23,15,15,25,15,covid
2020-05-24,12,12,23,12,covid
2020-05-25,12,12,26,12,covid
2020-05-26,11,11,29,11,covid
2020-05-27,13,13,36,13,covid
2020-05-28,17,17,43,17,covid
2020-05-29,19,19,52,19,covid
2020-05-30,19,19,59,19,covid
2020-05-31,20,20,67,20,covid
2020-06-01,26,26,81,26,covid
2020-06-02,29,29,83,29,covid
2020-06-03,30,30,86,30,covid
2020-06-04,30,30,88,30,covid
2020-06-05,28,28,88,28,covid
2020-06-06,30,30,98,30,covid
2020-06-07,33,33,109,33,covid
2020-06-08,34,34,116,34,covid
2020-06-09,35,36,118,35,covid
2020-06-10,33,35,123,33,covid
2020-06-11,42,44,139,42,covid
2020-06-12,42,44,142,42,covid
2020-06-13,44,46,153,44,covid
2020-06-14,52,58,178,52,covid
2020-06-15,56,64,195,56,covid
2020-06-16,61,72,209,61,covid
2020-06-17,63,74,226,63,covid
2020-06-18,59,76,240,59,covid
2020-06-19,61,83,258,61,covid
2020-06-20,62,85,278,62,covid
2020-06-21,62,87,285,62,covid
2020-06-22,62,92,308,62,covid
2020-06-23,63,103,328,63,covid
2020-06-24,66,113,350,66,covid
2020-03-01,5,5,5,5,srag
2020-03-02,5,5,5,5,srag
2020-03-03,1,1,1,1,srag
2020-03-04,1,1,1,1,srag
2020-03-05,4,4,4,4,srag
2020-03-06,4,4,4,4,srag
2020-03-07,4,4,4,4,srag
2020-03-08,4,4,4,4,srag
2020-03-09,4,4,4,4,srag
2020-03-10,6,6,6,6,srag
2020-03-11,6,6,6,6,srag
2020-03-12,6,6,6,6,srag
2020-03-13,6,6,6,6,srag
2020-03-14,5,5,5,5,srag
2020-03-15,8,8,8,8,srag
2020-03-16,12,12,12,12,srag
2020-03-17,14,14,14,14,srag
2020-03-18,13,13,13,13,srag
2020-03-19,21,21,21,21,srag
2020-03-20,23,23,23,23,srag
2020-03-21,15,15,15,15,srag
2020-03-22,13,13,13,13,srag
2020-03-23,16,16,16,16,srag
2020-03-24,18,18,18,18,srag
2020-03-25,19,19,19,19,srag
2020-03-26,25,25,25,25,srag
2020-03-27,29,29,29,29,srag
2020-03-28,26,26,26,26,srag
2020-03-29,29,29,29,29,srag
2020-03-30,28,28,28,28,srag
2020-03-31,27,27,27,27,srag
2020-04-01,27,27,27,27,srag
2020-04-02,28,28,28,28,srag
2020-04-03,23,23,23,23,srag
2020-04-04,20,20,20,20,srag
2020-04-05,19,19,19,19,srag
2020-04-06,24,24,24,24,srag
2020-04-07,26,26,26,26,srag
2020-04-08,29,29,29,29,srag
2020-04-09,31,31,31,31,srag
2020-04-10,31,31,31,31,srag
2020-04-11,31,31,31,31,srag
2020-04-12,28,28,28,28,srag
2020-04-13,29,29,29,29,srag
2020-04-14,37,37,37,37,srag
2020-04-15,41,41,41,41,srag
2020-04-16,45,45,45,45,srag
2020-04-17,44,44,44,44,srag
2020-04-18,40,40,40,40,srag
2020-04-19,42,42,42,42,srag
2020-04-20,39,39,39,39,srag
2020-04-21,42,42,42,42,srag
2020-04-22,42,42,42,42,srag
2020-04-23,38,38,38,38,srag
2020-04-24,37,37,37,37,srag
2020-04-25,32,32,32,32,srag
2020-04-26,34,34,34,34,srag
2020-04-27,33,33,33,33,srag
2020-04-28,33,33,33,33,srag
2020-04-29,37,37,37,37,srag
2020-04-30,38,38,38,38,srag
2020-05-01,42,42,42,42,srag
2020-05-02,34,34,34,34,srag
2020-05-03,34,34,34,34,srag
2020-05-04,42,42,42,42,srag
2020-05-05,41,41,41,41,srag
2020-05-06,36,36,36,36,srag
2020-05-07,41,41,41,41,srag
2020-05-08,42,42,42,42,srag
2020-05-09,44,44,44,44,srag
2020-05-10,48,48,48,48,srag
2020-05-11,49,49,49,49,srag
2020-05-12,54,54,54,54,srag
2020-05-13,53,53,53,53,srag
2020-05-14,59,59,59,59,srag
2020-05-15,64,64,64,64,srag
2020-05-16,59,59,59,59,srag
2020-05-17,58,58,58,58,srag
2020-05-18,68,68,68,68,srag
2020-05-19,65,65,65,65,srag
2020-05-20,71,71,71,71,srag
2020-05-21,68,68,68,68,srag
2020-05-22,57,57,57,57,srag
2020-05-23,51,51,51,51,srag
2020-05-24,50,50,52,50,srag
2020-05-25,51,51,59,51,srag
2020-05-26,51,51,66,51,srag
2020-05-27,49,49,72,49,srag
2020-05-28,56,56,84,56,srag
2020-05-29,55,55,88,55,srag
2020-05-30,52,52,87,52,srag
2020-05-31,51,51,89,51,srag
2020-06-01,62,62,106,62,srag
2020-06-02,67,67,119,67,srag
2020-06-03,77,77,134,77,srag
2020-06-04,79,79,139,79,srag
2020-06-05,89,89,153,89,srag
2020-06-06,89,89,156,89,srag
2020-06-07,94,94,170,94,srag
2020-06-08,88,88,176,88,srag
2020-06-09,88,89,180,88,srag
2020-06-10,95,96,189,95,srag
2020-06-11,106,107,207,106,srag
2020-06-12,106,108,221,106,srag
2020-06-13,113,115,239,113,srag
2020-06-14,120,123,251,120,srag
2020-06-15,128,132,272,128,srag
2020-06-16,136,142,284,136,srag
2020-06-17,141,148,297,141,srag
2020-06-18,139,146,303,139,srag
2020-06-19,149,160,332,149,srag
2020-06-20,149,162,342,149,srag
2020-06-21,150,166,359,150,srag
2020-06-22,152,172,376,152,srag
2020-06-23,151,172,383,151,srag
2020-06-24,156,182,396,156,srag
2020-06-25,160,195,416,161,srag
2020-06-26,163,202,451,164,srag
2020-06-27,159,208,460,160,srag
